,displayName,description,abbreviation,value,perGameValue,rank
19,Passing Yards,The total passing yards.,YDS,4806.0,282.0,7.0
20,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,2449.0,,3.0
21,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,2357.0,,9.0
22,Passing Yards Per Game,The number of passing yards per game.,YDS/G,282.706,,7.0
23,Passer Rating,Passer Rating,RTG,106.927505,105.59832763671875,10.0
24,Total Sacks,The total number of sacks.,SACK,55.0,3.0,3.0
25,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,403.0,23.0,30.0
26,Net Passing Attempts,Net Passing Attempts.,NATT,610.0,35.0,23.0
27,Team Games Played,The amount of games played.,TGP,17.0,,1.0
28,Total Offensive Plays,The number of total offensive plays.,TOP,1046.0,60.0,42.0
29,Total Points,The number of total points scored.,PTS,460.0,27.0,7.0
30,Total Points Per Game,The number of points scored per game.,TP,27.059,,7.0
31,Total Touchdowns,The number of touchdowns scored in total.,TD,54.0,3.0,6.0
32,Total Yards,The number of yards accumulated in total.,TYDS,6548.0,361.0,10.0
33,Total Yards From Scrimmage,The amound of total yards from the line of scrimmage.,CMP,0.0,,1.0
34,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,-1.0,-1.0,1.0
35,Two Point Pass,The number of times a pass was thrown for 2 points.,2PTP,1.0,,17.0
36,Two Point Pass Attempts,The number of times a pass was attempted on a 2-point conversion.,2PTPA,3.0,1.0,14.0
37,Yards From Scrimmage Per Game,The yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0
38,Yards Per Completion,The average number of yards per pass completion.,CMP,12.516,11.187000274658203,2.0
39,Yards Per Game,The average number of yards per game.,YDS/G,385.176,,10.0
40,Yards Per Pass Attempt,The average number yards per pass attempt.,AVG,8.659,8.529999732971191,1.0
41,Net Yards Per Pass Attempt,The average number net yards (taking sack yardage into account) per pass attempt.,NYDS/PA,7.218032786885246,7.4,
42,Quarterback Rating,Quarterback Rating.,RAT,106.927505,105.59832763671875,10.0
0,Average Gain,The average gained yards per position.,AG,620.081,,2.0
1,ESPN RB Rating,The ESPN Widereceiver Rating.,ESPNRB,2197.0,,20.0
2,Long Rushing,The amount of yards for the longest run.,LNG,46.0,19.0,18.0
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1.0
4,Net Total Yards,The amount of total net yards.,NTYDS,6145.0,,13.0
5,Net Yards Per Game,The total net yards gained per game.,CMP,361.47058,,13.0
6,Rushing Attempts,The total number of attempted rushes.,ATT,436.0,25.0,19.0
7,20+ Yard Rushing Plays,The number of rushing big plays gained.,BIG,8.0,,22.0
8,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,96.0,5.0,24.0
9,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,8.0,,22.0
10,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,1.0,,23.0
11,Rushing Touchdowns,The total number of rushing touchdowns.,TD,16.0,,14.0
12,Rushing Yards,The total rushing yards.,YDS,1742.0,102.0,23.0
13,Rushing Yards Per Game,The average number of rushing yards per game.,YDS/G,102.471,,23.0
14,Stuffs,The number of times a run is stopped at or behind the line of scrimmage.,STF,45.0,,19.0
15,Stuff Yards Lost,The number of yards lost when a run is stuffed.,SYDSL,-81.0,,12.0
16,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
17,Total Offensive Plays,The number of offenseive plays run.,OP,1046.0,60.0,42.0
18,Total Points,The number of total points earned.,PTS,460.0,27.0,7.0
19,Total Points Per Game,The average number of points scored per game.,TP/G,27.059,,7.0
20,Total Touchdowns,The number of total Touchdowns scored.,TD,54.0,3.0,6.0
21,Total Yards,The number of total yards gained.,TYDS,6548.0,361.0,10.0
22,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1.0
23,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTC,-1.0,-1.0,1.0
24,Two Point Rush,The number of rushes on 2-point attempts.,2PTR,0.0,,18.0
25,Two Point Rush Attempts,The number of times a 2-point conversion is attempted with a rush.,CMP,2.0,1.0,7.0
26,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0
27,Yards Per Game,The average number of yards per game.,YDS/G,385.176,,10.0
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,3.995,3.9030001163482666,26.0
0,Average Gain,The average gained yards per position.,AG,620.081,,2.0
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,7986.0,,6.0
2,Long Reception,The amount of yards for the longest reception.,LNG,82.0,46.0,4.0
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1.0
4,Net Total Yards,The amount of total net yards.,NTYDS,6145.0,,13.0
5,Net Yards Per Game,The total net yards gained per game.,CMP,361.47058,,13.0
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,63.0,,4.0
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,208.0,,11.0
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,10.0,,15.0
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,4.0,,20.0
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,540.0,31.0,20.0
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,36.0,2.0,7.0
12,Receiving Yards,The total receiving yards.,YDS,4806.0,282.0,7.0
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,2449.0,144.0,3.0
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,2357.0,,9.0
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,282.706,,7.0
16,Receptions,The total number of receptions.,REC,384.0,22.0,15.0
17,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
18,Total Offensive Plays,The number of offenseive plays run.,OP,1046.0,60.0,42.0
19,Total Points,The number of total points earned.,PTS,460.0,27.0,7.0
20,Total Points Per Game,The average number of points scored per game.,TP/G,27.059,,7.0
21,Total Touchdowns,The number of total Touchdowns scored.,TD,54.0,3.0,6.0
22,Total Yards,The number of total yards gained.,TYDS,6548.0,361.0,10.0
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1.0
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1.0
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,1.0,,17.0
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,3.0,1.0,13.0
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0
28,Yards Per Game,The average number of yards per game.,YDS/G,385.176,,10.0
29,Yards Per Reception,The average number of yards per reception.,AVG,12.516,12.27400016784668,2.0
0,Assist Tackles,The number of assists on tackles.,AST,441.0,23.0,33.0
1,Average Interception Yards,The average number of return yards per interception.,AVG,20.462,18.799999237060547,1.0
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,6.571,6.455999851226807,24.0
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,6.158,,23.0
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,1.0
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0.0,,8.0
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,2.0,,7.0
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1.0
8,Kicks Blocked,The number of times a kick was blocked.,KB,0.0,,22.0
9,Long Interception,The amount of yards of the longest interception return.,LNG,65.0,,11.0
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0.0,,7.0
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1.0
12,Passes Defended,The total number of passes defended.,PD,63.0,3.0,24.0
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,2.0
14,Sacks,The total number of sacks.,SACK,42.0,2.4709999561309814,11.0
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,276.0,16.235000610351562,13.0
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0.0,,5.0
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,782.0,41.0,18.0
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,38.0,3.0,10.0
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,234.0,,14.0
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,80.0,4.705999851226807,9.0
21,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
22,Total Tackles,The total number of tackles.,TOT,1223.0,64.0,51.0
23,Yards Allowed,Yards allowed,YA,0.0,,1.0
24,Points Allowed,Points allowed,PA,0.0,,1.0
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1.0
0,Interceptions,The total number of interceptions.,INT,13.0,,15.0
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,1.0,,14.0
2,Interception Yards,The number of yards gained after an interception.,YDS,266.0,15.0,5.0
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,20.061,16.68600082397461,5.0
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,62.768,21.43400001525879,9.0
2,Extra Point Attempts,The number of extra point attempts.,XPA,49.0,2.0,3.0
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,95.918,89.21600341796875,6.0
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1.0
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1.0
6,Extra Points Made,The number of extra point attempts made.,XPM,47.0,2.0,3.0
7,Fair Catches,The number of fair catches.,FC,0.0,,1.0
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,9.449000358581543,1.0
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,34.0,2.0,6.0
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,2.0
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,5.0,,13.0
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,9.0,,6.0
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,9.0,,9.0
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,11.0,,1.0
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,0.0,,4.0
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,11.0,,3.0
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1416.0,83.0,5.0
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,85.294,87.74500274658203,8.0
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,0.0,,1.0
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,0.0,,1.0
21,Field Goal Made,The number of times a field goal is made.,FGM,29.0,1.0,5.0
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,2.0
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,5.0,,13.0
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,9.0,,5.0
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,6.0,,10.0
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,9.0,,1.0
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,4.0
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,9.0,,3.0
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,1171.0,69.0,5.0
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,245.0,14.0,8.0
31,Kickoff Returns,The number of times a kickoff was returned.,KR,33.0,1.0,10.0
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,0.0,,1.0
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,662.0,38.0,4.0
34,Kickoffs,The number of kickoffs taken.,K,95.0,5.0,5.0
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,5963.0,128.0,6.0
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,58.0,,5.0
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,58.0,40.0,5.0
38,Long Kickoff,The distance of the longest kickoff.,LK,70.0,59.0,5.0
39,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
40,Total Kicking Points,The number of total points earned kicking.,PTS,134.0,7.0,6.0
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,58.947,60.53900146484375,7.0
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,56.0,3.0,4.0
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1.0
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1.0
2,Fumble Recoveries,The number of fumble recoveries.,FR,8.0,,11.0
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,122.0,,2.0
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,2.0
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1.0
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1.0
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1.0
8,Kick Returns,The number of kick returns.,ATT,33.0,1.0,18.0
9,Kick Return Touchdowns,The number of kick return touchdowns.,TD,0.0,,9.0
