,displayName,description,abbreviation,value,perGameValue,rank
27,Yards Per Game,The average number of yards per game.,YDS/G,331.0,,27
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.264,4.182000160217285,21
0,Average Gain,The average gained yards per position.,AG,554.197,,18
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,6270.0,,22
2,Long Reception,The amount of yards for the longest reception.,LNG,53.0,36.0,31
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,5348.0,,26
5,Net Yards Per Game,The total net yards gained per game.,CMP,314.58823,,26
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,57.0,,5
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,166.0,,25
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,11.0,,5
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,6.0,,5
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,518.0,30.0,21
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,19.0,1.0,19
12,Receiving Yards,The total receiving yards.,YDS,3815.0,224.0,21
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1825.0,107.0,15
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,1990.0,,21
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,224.412,,21
16,Receptions,The total number of receptions.,REC,358.0,21.0,16
17,Team Games Played,The numbers of team games played.,GP,17.0,,1
18,Total Offensive Plays,The number of offenseive plays run.,OP,1006.0,58.0,28
19,Total Points,The number of total points earned.,PTS,364.0,21.0,17
20,Total Points Per Game,The average number of points scored per game.,TP/G,21.412,,17
21,Total Touchdowns,The number of total Touchdowns scored.,TD,39.0,2.0,17
22,Total Yards,The number of total yards gained.,TYDS,5627.0,314.0,27
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,1.0,,14
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,4.0,1.0,6
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1
