,displayName,description,abbreviation,value,perGameValue,rank
27,Yards Per Game,The average number of yards per game.,YDS/G,370.588,,14
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.936,4.947999954223633,4
0,Average Gain,The average gained yards per position.,AG,586.111,,12
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,5820.0,,30
2,Long Reception,The amount of yards for the longest reception.,LNG,91.0,37.0,1
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,6119.0,,14
5,Net Yards Per Game,The total net yards gained per game.,CMP,359.94116,,14
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,51.0,,16
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,167.0,,28
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,9.0,,19
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,2.0,,27
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,468.0,27.0,32
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,20.0,1.0,25
12,Receiving Yards,The total receiving yards.,YDS,3585.0,210.0,29
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1741.0,102.0,22
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,1844.0,,28
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,210.882,,29
16,Receptions,The total number of receptions.,REC,307.0,18.0,31
17,Team Games Played,The numbers of team games played.,GP,17.0,,1
18,Total Offensive Plays,The number of offenseive plays run.,OP,1075.0,62.0,9
19,Total Points,The number of total points earned.,PTS,444.0,27.0,12
20,Total Points Per Game,The average number of points scored per game.,TP/G,26.118,,12
21,Total Touchdowns,The number of total Touchdowns scored.,TD,50.0,2.0,12
22,Total Yards,The number of total yards gained.,TYDS,6300.0,359.0,14
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,3.0,1.0,3
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,3.0,1.0,13
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1
28,Yards Per Game,The average number of yards per game.,YDS/G,370.588,,14
29,Yards Per Reception,The average number of yards per reception.,AVG,11.678,11.75100040435791,6
0,Assist Tackles,The number of assists on tackles.,AST,537.0,29.0,17
