,displayName,description,abbreviation,value,perGameValue,rank
27,Yards Per Game,The average number of yards per game.,YDS/G,315.176,,30
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.376,4.304999828338623,16
0,Average Gain,The average gained yards per position.,AG,534.995,,24
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,5212.0,,29
2,Long Reception,The amount of yards for the longest reception.,LNG,69.0,37.0,12
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,5045.0,,30
5,Net Yards Per Game,The total net yards gained per game.,CMP,296.7647,,30
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,41.0,,25
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,153.0,,28
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,7.0,,27
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,4.0,,21
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,436.0,25.0,29
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,16.0,,28
12,Receiving Yards,The total receiving yards.,YDS,3227.0,189.0,29
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1537.0,90.0,28
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,1690.0,,30
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,189.824,,29
16,Receptions,The total number of receptions.,REC,285.0,16.0,29
17,Team Games Played,The numbers of team games played.,GP,17.0,,1
18,Total Offensive Plays,The number of offenseive plays run.,OP,992.0,56.0,36
19,Total Points,The number of total points earned.,PTS,298.0,17.0,28
20,Total Points Per Game,The average number of points scored per game.,TP/G,17.529,,28
21,Total Touchdowns,The number of total Touchdowns scored.,TD,34.0,2.0,24
22,Total Yards,The number of total yards gained.,TYDS,5358.0,296.0,30
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,1.0,1.0,14
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,1.0,1.0,22
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1
28,Yards Per Game,The average number of yards per game.,YDS/G,315.176,,30
29,Yards Per Reception,The average number of yards per reception.,AVG,11.323,11.26200008392334,13
0,Assist Tackles,The number of assists on tackles.,AST,419.0,22.0,12
1,Average Interception Yards,The average number of return yards per interception.,AVG,10.643,8.409000396728516,23
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,6.769,6.7230000495910645,15
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,6.081,,18
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,2
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0.0,,7
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,1.0,,17
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1
8,Kicks Blocked,The number of times a kick was blocked.,KB,1.0,,13
9,Long Interception,The amount of yards of the longest interception return.,LNG,76.0,,3
