,displayName,description,abbreviation,value,perGameValue,rank
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0.0,,8.0
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,2.0,,7.0
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1.0
8,Kicks Blocked,The number of times a kick was blocked.,KB,1.0,,9.0
9,Long Interception,The amount of yards of the longest interception return.,LNG,55.0,,12.0
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0.0,,7.0
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1.0
12,Passes Defended,The total number of passes defended.,PD,74.0,4.0,13.0
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,2.0
14,Sacks,The total number of sacks.,SACK,39.0,2.2939999103546143,15.0
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,297.0,17.47100067138672,9.0
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0.0,,5.0
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,779.0,40.0,3.0
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,12.0,2.0,31.0
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,258.0,,9.0
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,51.0,3.0,32.0
21,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
22,Total Tackles,The total number of tackles.,TOT,1094.0,57.0,37.0
23,Yards Allowed,Yards allowed,YA,0.0,,1.0
24,Points Allowed,Points allowed,PA,0.0,,1.0
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1.0
0,Interceptions,The total number of interceptions.,INT,18.0,1.0,6.0
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,2.0,,4.0
2,Interception Yards,The number of yards gained after an interception.,YDS,164.0,9.0,15.0
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,17.7,16.56100082397461,1.0
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,63.777,30.05900001525879,4.0
2,Extra Point Attempts,The number of extra point attempts.,XPA,51.0,3.0,3.0
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,96.078,88.23500061035156,7.0
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1.0
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1.0
6,Extra Points Made,The number of extra point attempts made.,XPM,49.0,2.0,2.0
7,Fair Catches,The number of fair catches.,FC,0.0,,2.0
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,8.368000030517578,2.0
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,34.0,2.0,4.0
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,1.0
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,9.0,,6.0
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,13.0,,3.0
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,8.0,,10.0
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,4.0,,9.0
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,0.0,,5.0
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,4.0,,14.0
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1257.0,69.0,7.0
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,73.529,75.41999816894531,16.0
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,2.0,,15.0
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,5.882,5.881999969482422,15.0
