,displayName,description,abbreviation,value,perGameValue,rank
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,11.0,1.0,32
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,6.0,,28
2,Forced Fumbles,The total number of forced fumbles.,FF,15.0,,26
3,Fumbles Recovered,The number of fumbles recovered.,FR,11.0,,4
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,1.0,,8
5,Games Played,Games Played,GP,16.0,,31
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0.0,,5
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,1.0,,8
0,Average Gain,The average gained yards per position.,AG,571.655,,11
1,Completion Percentage,The percentage of completed passes.,CMP%,68.525,68.5989990234375,2
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,418.0,26.0,6
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,6610.0,,2
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,1.967,1.7400000095367432,9
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,12.0,,10
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,60.0,39.0,21
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1
8,Net Passing Yards,The amount of net passing yards.,NYDS,4240.0,265.0,7
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,265.0,,5
10,Net Total Yards,The amount of net total yards.,NTYDS,5768.0,,15
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,360.5,,8
12,Passing Attempts,The number of times a pass is attempted.,ATT,610.0,38.0,7
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,54.0,,12
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,221.0,13.0,6
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,8.0,,17
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,5.0,,16
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,5.738,5.263157844543457,4
18,Passing Touchdowns,The total number of passing touchdowns.,TD,35.0,2.0,2
19,Passing Yards,The total passing yards.,YDS,4520.0,282.0,6
20,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,2170.0,,6
21,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,2350.0,,8
22,Passing Yards Per Game,The number of passing yards per game.,YDS/G,282.5,,3
23,Passer Rating,Passer Rating,RTG,100.99333,100.60969543457031,40
24,Total Sacks,The total number of sacks.,SACK,44.0,2.0,11
25,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,280.0,17.0,21
26,Net Passing Attempts,Net Passing Attempts.,NATT,654.0,40.0,4
27,Team Games Played,The amount of games played.,TGP,16.0,,31
28,Total Offensive Plays,The number of total offensive plays.,TOP,1053.0,64.0,25
29,Total Points,The number of total points scored.,PTS,418.0,25.0,8
30,Total Points Per Game,The number of points scored per game.,TP,26.125,,7
31,Total Touchdowns,The number of touchdowns scored in total.,TD,50.0,3.0,7
32,Total Yards,The number of yards accumulated in total.,TYDS,6048.0,360.0,15
