,displayName,description,abbreviation,value,perGameValue,rank
8,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,128.0,8.0,10.0
9,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,20.0,,2.0
10,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,5.0,,1.0
11,Rushing Touchdowns,The total number of rushing touchdowns.,TD,15.0,,15.0
12,Rushing Yards,The total rushing yards.,YDS,2232.0,139.0,9.0
13,Rushing Yards Per Game,The average number of rushing yards per game.,YDS/G,139.5,,7.0
14,Stuffs,The number of times a run is stopped at or behind the line of scrimmage.,STF,55.0,,15.0
15,Stuff Yards Lost,The number of yards lost when a run is stuffed.,SYDSL,-106.0,,19.0
16,Team Games Played,The numbers of team games played.,GP,16.0,,31.0
17,Total Offensive Plays,The number of offenseive plays run.,OP,1037.0,63.0,59.0
18,Total Points,The number of total points earned.,PTS,455.0,27.0,4.0
19,Total Points Per Game,The average number of points scored per game.,TP/G,28.438,,2.0
20,Total Touchdowns,The number of total Touchdowns scored.,TD,53.0,3.0,5.0
21,Total Yards,The number of total yards gained.,TYDS,6523.0,397.0,4.0
22,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1.0
23,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTC,-1.0,-1.0,1.0
24,Two Point Rush,The number of rushes on 2-point attempts.,2PTR,1.0,,4.0
25,Two Point Rush Attempts,The number of times a 2-point conversion is attempted with a rush.,CMP,2.0,,4.0
26,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0
27,Yards Per Game,The average number of yards per game.,YDS/G,407.688,,2.0
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,5.191,5.224999904632568,2.0
0,Average Gain,The average gained yards per position.,AG,633.566,,3.0
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,7321.0,,9.0
2,Long Reception,The amount of yards for the longest reception.,LNG,98.0,39.0,1.0
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1.0
4,Net Total Yards,The amount of total net yards.,NTYDS,6361.0,,4.0
5,Net Yards Per Game,The total net yards gained per game.,CMP,397.5625,,2.0
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,51.0,,13.0
