,displayName,description,abbreviation,value,perGameValue,rank
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,97.619,98.03900146484375,1
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1
6,Extra Points Made,The number of extra point attempts made.,XPM,41.0,2.0,2
7,Fair Catches,The number of fair catches.,FC,0.0,,1
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,6.835000038146973,1
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,37.0,2.0,1
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,1
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,9.0,,2
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,16.0,,1
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,6.0,,3
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,6.0,,3
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,0.0,,2
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,6.0,,1
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1360.0,80.0,1
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,91.892,89.51000213623047,2
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,0.0,,1
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,0.0,,1
21,Field Goal Made,The number of times a field goal is made.,FGM,34.0,2.0,1
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,1
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,9.0,,2
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,15.0,,1
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,4.0,,3
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,6.0,,2
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,1
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,6.0,,3
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,1234.0,72.0,1
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,126.0,7.0,3
31,Kickoff Returns,The number of times a kickoff was returned.,KR,30.0,1.0,3
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,0.0,,1
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,728.0,42.0,4
34,Kickoffs,The number of kickoffs taken.,K,94.0,5.0,2
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,5903.0,140.0,2
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,56.0,,3
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,56.0,40.0,3
38,Long Kickoff,The distance of the longest kickoff.,LK,68.0,56.0,3
39,Team Games Played,The numbers of team games played.,GP,17.0,,1
40,Total Kicking Points,The number of total points earned kicking.,PTS,143.0,8.0,1
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,57.447,54.867000579833984,3
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,54.0,3.0,3
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1
2,Fumble Recoveries,The number of fumble recoveries.,FR,11.0,,4
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,43.0,,12
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,1
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1
8,Kick Returns,The number of kick returns.,ATT,30.0,1.0,17
9,Kick Return Touchdowns,The number of kick return touchdowns.,TD,0.0,,6
10,Kick Return Yards,The total yardage of kick returns.,YDS,728.0,42.0,12
11,Long Kick Return,The longest kick return in yards.,LNG,50.0,23.0,15
12,Long Punt Return,The longest punt return in yards.,LNG,20.0,5.0,29
13,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0.0,,1
14,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0.0,,1
15,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,11.0,,7
16,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,58.0,,8
17,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0.0,,1
18,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0.0,,1
19,Punt Return Fair Catches,The number of punt return fair catches.,FC,19.0,1.0,12
20,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,118.75,,4
21,Punt Return Fumbles,The number of punt return fumbles.,PRF,0.0,,1
22,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0.0,,1
23,Punt Returns,The number of punt returns.,ATT,16.0,,32
24,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0.0,,1
25,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0.0,,1
26,Punt Return Touchdowns,The number of punt return touchdowns.,TD,0.0,,4
27,Punt Return Yards,The total yardage of punt returns.,YDS,109.0,6.0,32
28,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0.0,,1
29,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0.0,,1
