,displayName,description,abbreviation,value,perGameValue,rank
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,25.0,1.0,5.0
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,11.0,,4.0
2,Forced Fumbles,The total number of forced fumbles.,FF,16.0,,22.0
3,Fumbles Recovered,The number of fumbles recovered.,FR,6.0,1.0,26.0
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,2.0,,4.0
5,Games Played,Games Played,GP,17.0,,1.0
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1.0
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,1.0,,1.0
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,1.0,,4.0
0,Average Gain,The average gained yards per position.,AG,536.096,,21.0
1,Completion Percentage,The percentage of completed passes.,CMP%,67.103,67.21600341796875,8.0
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,359.0,21.0,19.0
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,4865.0,,23.0
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,2.617,2.492000102996826,20.0
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,14.0,,14.0
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,57.0,35.0,31.0
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1.0
8,Net Passing Yards,The amount of net passing yards.,NYDS,3418.0,201.0,24.0
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,201.05882,,24.0
10,Net Total Yards,The amount of net total yards.,NTYDS,5822.0,,17.0
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,342.47058,,17.0
12,Passing Attempts,The number of times a pass is attempted.,ATT,535.0,31.0,25.0
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,35.0,,31.0
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,194.0,11.0,18.0
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,11.0,,8.0
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,6.0,,7.0
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,4.112,3.22580623626709,16.0
18,Passing Touchdowns,The total number of passing touchdowns.,TD,22.0,1.0,19.0
19,Passing Yards,The total passing yards.,YDS,3745.0,220.0,23.0
20,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,1778.0,,18.0
21,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,1967.0,,22.0
22,Passing Yards Per Game,The number of passing yards per game.,YDS/G,220.294,,23.0
23,Passer Rating,Passer Rating,RTG,89.971664,87.7535171508789,79.0
24,Total Sacks,The total number of sacks.,SACK,47.0,2.0,7.0
25,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,327.0,19.0,26.0
26,Net Passing Attempts,Net Passing Attempts.,NATT,582.0,33.0,18.0
27,Team Games Played,The amount of games played.,TGP,17.0,,1.0
28,Total Offensive Plays,The number of total offensive plays.,TOP,1133.0,65.0,17.0
29,Total Points,The number of total points scored.,PTS,419.0,24.0,15.0
30,Total Points Per Game,The number of points scored per game.,TP,24.647,,15.0
31,Total Touchdowns,The number of touchdowns scored in total.,TD,49.0,2.0,14.0
32,Total Yards,The number of yards accumulated in total.,TYDS,6149.0,342.0,16.0
33,Total Yards From Scrimmage,The amound of total yards from the line of scrimmage.,CMP,0.0,,1.0
34,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,-1.0,-1.0,1.0
35,Two Point Pass,The number of times a pass was thrown for 2 points.,2PTP,1.0,1.0,17.0
36,Two Point Pass Attempts,The number of times a pass was attempted on a 2-point conversion.,2PTPA,1.0,1.0,30.0
37,Yards From Scrimmage Per Game,The yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0
38,Yards Per Completion,The average number of yards per pass completion.,CMP,10.432,9.541999816894531,25.0
39,Yards Per Game,The average number of yards per game.,YDS/G,361.706,,16.0
40,Yards Per Pass Attempt,The average number yards per pass attempt.,AVG,7.0,7.0289998054504395,16.0
41,Net Yards Per Pass Attempt,The average number net yards (taking sack yardage into account) per pass attempt.,NYDS/PA,5.8728522336769755,6.090909090909091,21.0
42,Quarterback Rating,Quarterback Rating.,RAT,89.971664,87.7535171508789,79.0
0,Average Gain,The average gained yards per position.,AG,536.096,,21.0
1,ESPN RB Rating,The ESPN Widereceiver Rating.,ESPNRB,3044.0,,4.0
2,Long Rushing,The amount of yards for the longest run.,LNG,76.0,27.0,2.0
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1.0
4,Net Total Yards,The amount of total net yards.,NTYDS,5822.0,,17.0
5,Net Yards Per Game,The total net yards gained per game.,CMP,342.47058,,17.0
6,Rushing Attempts,The total number of attempted rushes.,ATT,551.0,32.0,1.0
7,20+ Yard Rushing Plays,The number of rushing big plays gained.,BIG,11.0,,11.0
8,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,134.0,7.0,6.0
9,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,11.0,,11.0
10,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,3.0,,4.0
11,Rushing Touchdowns,The total number of rushing touchdowns.,TD,23.0,1.0,3.0
12,Rushing Yards,The total rushing yards.,YDS,2404.0,141.0,5.0
13,Rushing Yards Per Game,The average number of rushing yards per game.,YDS/G,141.412,,5.0
14,Stuffs,The number of times a run is stopped at or behind the line of scrimmage.,STF,61.0,,3.0
15,Stuff Yards Lost,The number of yards lost when a run is stuffed.,SYDSL,-108.0,,27.0
16,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
17,Total Offensive Plays,The number of offenseive plays run.,OP,1133.0,65.0,17.0
18,Total Points,The number of total points earned.,PTS,419.0,24.0,15.0
19,Total Points Per Game,The average number of points scored per game.,TP/G,24.647,,15.0
20,Total Touchdowns,The number of total Touchdowns scored.,TD,49.0,2.0,14.0
21,Total Yards,The number of total yards gained.,TYDS,6149.0,342.0,16.0
22,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1.0
23,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTC,-1.0,-1.0,1.0
24,Two Point Rush,The number of rushes on 2-point attempts.,2PTR,1.0,1.0,6.0
25,Two Point Rush Attempts,The number of times a 2-point conversion is attempted with a rush.,CMP,1.0,1.0,12.0
26,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0
27,Yards Per Game,The average number of yards per game.,YDS/G,361.706,,16.0
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.363,4.2870001792907715,14.0
0,Average Gain,The average gained yards per position.,AG,536.096,,21.0
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,6310.0,,22.0
2,Long Reception,The amount of yards for the longest reception.,LNG,57.0,35.0,31.0
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1.0
4,Net Total Yards,The amount of total net yards.,NTYDS,5822.0,,17.0
5,Net Yards Per Game,The total net yards gained per game.,CMP,342.47058,,17.0
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,35.0,,31.0
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,194.0,,18.0
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,11.0,,8.0
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,6.0,,7.0
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,522.0,30.0,25.0
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,22.0,1.0,19.0
12,Receiving Yards,The total receiving yards.,YDS,3745.0,220.0,23.0
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1778.0,104.0,18.0
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,1967.0,,21.0
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,220.294,,23.0
16,Receptions,The total number of receptions.,REC,359.0,21.0,19.0
17,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
18,Total Offensive Plays,The number of offenseive plays run.,OP,1133.0,65.0,17.0
19,Total Points,The number of total points earned.,PTS,419.0,24.0,15.0
20,Total Points Per Game,The average number of points scored per game.,TP/G,24.647,,15.0
