,displayName,description,abbreviation,value,perGameValue,rank
27,Yards Per Game,The average number of yards per game.,YDS/G,367.118,,12
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.811,4.623000144958496,6
0,Average Gain,The average gained yards per position.,AG,591.026,,8
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,6957.0,,12
2,Long Reception,The amount of yards for the longest reception.,LNG,60.0,37.0,21
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,5993.0,,11
5,Net Yards Per Game,The total net yards gained per game.,CMP,352.52942,,12
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,58.0,,4
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,193.0,,13
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,10.0,,8
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,3.0,,26
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,558.0,32.0,12
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,28.0,1.0,9
12,Receiving Yards,The total receiving yards.,YDS,4182.0,246.0,11
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1783.0,104.0,19
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,2399.0,,6
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,246.0,,11
16,Receptions,The total number of receptions.,REC,359.0,21.0,15
17,Team Games Played,The numbers of team games played.,GP,17.0,,1
18,Total Offensive Plays,The number of offenseive plays run.,OP,1049.0,61.0,9
19,Total Points,The number of total points earned.,PTS,395.0,23.0,12
20,Total Points Per Game,The average number of points scored per game.,TP/G,23.235,,12
21,Total Touchdowns,The number of total Touchdowns scored.,TD,43.0,2.0,12
22,Total Yards,The number of total yards gained.,TYDS,6241.0,352.0,11
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,0.0,,21
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,3.0,1.0,12
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1
28,Yards Per Game,The average number of yards per game.,YDS/G,367.118,,12
29,Yards Per Reception,The average number of yards per reception.,AVG,11.649,11.743000030517578,9
0,Assist Tackles,The number of assists on tackles.,AST,475.0,25.0,4
1,Average Interception Yards,The average number of return yards per interception.,AVG,23.5,23.5,1
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,7.111,8.10200023651123,7
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,4.024,,27
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,2
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0.0,,7
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,3.0,,4
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1
8,Kicks Blocked,The number of times a kick was blocked.,KB,2.0,,7
9,Long Interception,The amount of yards of the longest interception return.,LNG,73.0,,5
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0.0,,6
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1
12,Passes Defended,The total number of passes defended.,PD,55.0,3.0,31
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,1
14,Sacks,The total number of sacks.,SACK,27.0,1.5880000591278076,30
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,192.0,11.293999671936035,29
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0.0,,10
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,763.0,40.0,56
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,41.0,4.0,11
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,165.0,,29
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,68.0,4.0,25
21,Team Games Played,The numbers of team games played.,GP,17.0,,1
22,Total Tackles,The total number of tackles.,TOT,1238.0,65.0,60
23,Yards Allowed,Yards allowed,YA,0.0,,1
24,Points Allowed,Points allowed,PA,0.0,,1
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Interceptions,The total number of interceptions.,INT,6.0,,31
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,1.0,,11
2,Interception Yards,The number of yards gained after an interception.,YDS,141.0,8.0,19
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,20.242,15.701000213623047,4
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,61.211,18.007999420166016,4
2,Extra Point Attempts,The number of extra point attempts.,XPA,36.0,2.0,3
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,97.222,92.15699768066406,2
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1
6,Extra Points Made,The number of extra point attempts made.,XPM,35.0,2.0,3
7,Fair Catches,The number of fair catches.,FC,0.0,,1
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,11.640999794006348,1
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,37.0,2.0,1
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,2
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,9.0,,2
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,11.0,,2
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,4.0,,4
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,13.0,,1
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,0.0,,3
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,13.0,,2
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1477.0,86.0,2
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,91.892,82.84400177001953,2
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,1.0,,2
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,2.703,1.9609999656677246,2
21,Field Goal Made,The number of times a field goal is made.,FGM,34.0,2.0,1
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,2
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,9.0,,2
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,11.0,,2
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,3.0,,4
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,11.0,,1
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,2
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,11.0,,1
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,1323.0,77.0,1
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,154.0,9.0,3
31,Kickoff Returns,The number of times a kickoff was returned.,KR,33.0,1.0,2
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,0.0,,1
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,668.0,39.0,3
34,Kickoffs,The number of kickoffs taken.,K,90.0,5.0,2
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,5509.0,101.0,2
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,57.0,,3
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,57.0,42.0,2
38,Long Kickoff,The distance of the longest kickoff.,LK,71.0,47.0,2
39,Team Games Played,The numbers of team games played.,GP,17.0,,1
40,Total Kicking Points,The number of total points earned kicking.,PTS,137.0,8.0,1
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,63.333,64.93099975585938,4
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,57.0,3.0,3
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1
2,Fumble Recoveries,The number of fumble recoveries.,FR,7.0,,23
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,123.0,,1
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,1
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1
8,Kick Returns,The number of kick returns.,ATT,32.0,1.0,13
9,Kick Return Touchdowns,The number of kick return touchdowns.,TD,0.0,,6
10,Kick Return Yards,The total yardage of kick returns.,YDS,668.0,39.0,16
11,Long Kick Return,The longest kick return in yards.,LNG,33.0,18.0,28
12,Long Punt Return,The longest punt return in yards.,LNG,17.0,6.0,31
13,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0.0,,1
14,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0.0,,1
15,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,4.0,,32
16,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,70.0,,6
17,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0.0,,1
18,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0.0,,1
19,Punt Return Fair Catches,The number of punt return fair catches.,FC,12.0,,29
20,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,44.444,,26
21,Punt Return Fumbles,The number of punt return fumbles.,PRF,0.0,,1
22,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0.0,,1
23,Punt Returns,The number of punt returns.,ATT,27.0,1.0,21
24,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0.0,,1
25,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0.0,,1
26,Punt Return Touchdowns,The number of punt return touchdowns.,TD,0.0,,4
27,Punt Return Yards,The total yardage of punt returns.,YDS,156.0,9.0,30
28,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0.0,,1
29,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0.0,,1
30,Team Games Played,The numbers of team games played.,GP,17.0,,1
31,Yards Per Kick Return,The average number of yards per kick return.,AVG,20.875,15.701000213623047,26
32,Yards Per Punt Return,The average number of yards per punt return.,AVG,5.778,4.460999965667725,32
33,Yards Per Return,The average number of yards per return.,YDS/R,13.966,,27
0,Average Punt Return Yards,The average number of yards per punt return.,AVG,10.96,5.056000232696533,4
1,Fair Catches,The number of fair catches.,FC,16.0,,20
2,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,48.881,49.220001220703125,4
3,Long Punt,The distance of the longest punt.,LNG,67.0,57.0,20
4,Net Average Punt Yards,The average net number of yards per punt.,NET,44.237,44.93899917602539,7
5,Punt Returns,The number of times a punt was returned.,ATT,25.0,1.0,22
6,Punt Return Yards,The total amount of yardage of punt returns.,YDS,274.0,16.0,14
7,Punts,The number of punts taken.,PUNTS,59.0,3.0,24
8,Punts Blocked,The number of times a punt was blocked.,PBLK,0.0,,11
9,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,0.0,,11
10,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,11.0,,7
