id,fullName,active
2576336,Ameer Abdullah,True
3915373,Micah Abernathy,True
15972,Oday Aboushi,True
3728305,Johnathan Abram,True
16800,Davante Adams,True
3126179,Matthew Adams,True
3051894,Montravius Adams,True
4039164,Myles Adams,True
4240532,Tony Adams,True
3886808,Trey Adams,True
3912028,Nasir Adderley,True
4034729,Tucker Addington,True
14320,Mario Addison,True
4242547,Paulson Adebo,True
4046557,Hakeem Adeniji,True
4240719,Cal Adomitis,True
2971618,Nelson Agholor,True
4035566,McTelvin Agim,True
3061612,Jamal Agnew,True
4243315,Salvon Ahmed,True
4360438,Brandon Aiyuk,True
4240021,Cam Akers,True
4035835,Alex Akingbulu,True
3128452,Jordan Akins,True
3919117,Azeez Al-Shaair,True
4686629,Isaac Alarcon,True
3895429,Jaire Alexander,True
2976541,Kwon Alexander,True
3914307,Maurice Alexander,True
4401823,Dee Alford,True
4259976,Josh Ali,True
2998565,Mo Alie-Cox,True
3115922,Nick Allegretti,True
4240787,Austin Allen,True
2574511,Brandon Allen,True
3134666,Brian Allen,True
4035526,Chase Allen,True
3052083,Devon Allen,True
3054840,Jonathan Allen,True
3915239,Josh Allen,True
3918298,Josh Allen,True
15818,Keenan Allen,True
3115293,Kyle Allen,True
3915282,Zach Allen,True
4373626,Tyler Allgeier,True
13233,Tyson Alualu,True
2582132,Adrian Amos,True
4035660,Bradlee Anae,True
4247807,Troy Andersen,True
3119119,Abdullah Anderson,True
4367203,Alec Anderson,True
3123867,Calvin Anderson,True
2517752,Henry Anderson,True
4241844,Jack Anderson,True
2574808,Robbie Anderson,True
4242430,Ryder Anderson,True
2576854,Stephen Anderson,True
3932335,Zayne Anderson,True
2578529,David Andrews,True
3116365,Mark Andrews,True
4240263,David Anenih,True
14950,Bryan Anger,True
3008150,Eli Ankou,True
3043107,Alex Anzalone,True
3116152,Troy Apke,True
3040506,Eli Apple,True
4046707,AJ Arcuri,True
4212884,Alex Armah,True
2971275,Arik Armstead,True
15821,Terron Armstead,True
3123963,Cornell Armstrong,True
3928979,Dorance Armstrong,True
4212989,Dan Arnold,True
4035389,Grayland Arnold,True
4360255,Brian Asamoah II,True
4046522,Devin Asiasi,True
4360797,Tutu Atwell,True
4372758,Kevin Austin Jr.,True
17447,Denico Autry,True
4259300,Tre Avery,True
4040842,Kayode Awosika,True
3886809,Andre Baccellia,True
4036507,Joe Bachie,True
3919510,Alex Bachman,True
4686421,David Bada,True
