,displayName,description,abbreviation,value,perGameValue,rank
17,Total Offensive Plays,The number of offenseive plays run.,OP,1116.0,64.0,27
18,Total Points,The number of total points earned.,PTS,361.0,21.0,18
19,Total Points Per Game,The average number of points scored per game.,TP/G,21.235,,18
20,Total Touchdowns,The number of total Touchdowns scored.,TD,42.0,2.0,13
21,Total Yards,The number of total yards gained.,TYDS,6200.0,349.0,13
22,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1
23,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTC,-1.0,-1.0,1
24,Two Point Rush,The number of rushes on 2-point attempts.,2PTR,1.0,1.0,4
25,Two Point Rush Attempts,The number of times a 2-point conversion is attempted with a rush.,CMP,1.0,1.0,8
26,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1
27,Yards Per Game,The average number of yards per game.,YDS/G,364.706,,14
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.68,4.65500020980835,11
0,Average Gain,The average gained yards per position.,AG,553.545,,20
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,6050.0,,24
2,Long Reception,The amount of yards for the longest reception.,LNG,55.0,35.0,28
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,5934.0,,13
5,Net Yards Per Game,The total net yards gained per game.,CMP,349.05884,,14
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,44.0,,23
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,182.0,,21
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,8.0,,17
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,6.0,,5
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,507.0,29.0,23
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,19.0,1.0,19
12,Receiving Yards,The total receiving yards.,YDS,3710.0,218.0,23
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1639.0,96.0,25
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,2071.0,,18
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,218.235,,23
16,Receptions,The total number of receptions.,REC,335.0,19.0,27
17,Team Games Played,The numbers of team games played.,GP,17.0,,1
18,Total Offensive Plays,The number of offenseive plays run.,OP,1116.0,64.0,27
19,Total Points,The number of total points earned.,PTS,361.0,21.0,18
20,Total Points Per Game,The average number of points scored per game.,TP/G,21.235,,18
21,Total Touchdowns,The number of total Touchdowns scored.,TD,42.0,2.0,13
22,Total Yards,The number of total yards gained.,TYDS,6200.0,349.0,13
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,0.0,,21
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,2.0,1.0,16
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1
28,Yards Per Game,The average number of yards per game.,YDS/G,364.706,,14
29,Yards Per Reception,The average number of yards per reception.,AVG,11.075,11.329000473022461,15
0,Assist Tackles,The number of assists on tackles.,AST,440.0,22.0,3
1,Average Interception Yards,The average number of return yards per interception.,AVG,5.182,6.125,31
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,6.206,5.763999938964844,25
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,5.057,,20
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,2
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,1.0,,1
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,3.0,,4
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1
8,Kicks Blocked,The number of times a kick was blocked.,KB,1.0,,13
9,Long Interception,The amount of yards of the longest interception return.,LNG,40.0,,20
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0.0,,6
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1
12,Passes Defended,The total number of passes defended.,PD,85.0,5.0,4
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,1
14,Sacks,The total number of sacks.,SACK,34.0,2.0,27
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,211.0,12.411999702453613,26
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0.0,,10
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,730.0,38.0,14
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,35.0,3.0,18
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,177.0,,26
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,69.0,4.059000015258789,24
21,Team Games Played,The numbers of team games played.,GP,17.0,,1
22,Total Tackles,The total number of tackles.,TOT,1170.0,60.0,17
23,Yards Allowed,Yards allowed,YA,0.0,,1
24,Points Allowed,Points allowed,PA,0.0,,1
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Interceptions,The total number of interceptions.,INT,11.0,,21
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,1.0,,11
2,Interception Yards,The number of yards gained after an interception.,YDS,57.0,3.0,32
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,23.0,23.24799919128418,10
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,62.256,21.750999450683594,8
2,Extra Point Attempts,The number of extra point attempts.,XPA,37.0,2.0,6
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,94.595,90.68599700927734,11
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1
6,Extra Points Made,The number of extra point attempts made.,XPM,35.0,2.0,7
7,Fair Catches,The number of fair catches.,FC,0.0,,1
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,6.047999858856201,1
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,32.0,1.0,10
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,4
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,5.0,,14
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,12.0,,3
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,8.0,,11
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,6.0,,8
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,1.0,,3
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,7.0,,11
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1292.0,77.0,10
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,75.0,74.51000213623047,15
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,3.0,,15
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,9.375,7.8429999351501465,16
21,Field Goal Made,The number of times a field goal is made.,FGM,24.0,1.0,13
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,4
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,5.0,,12
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,9.0,,8
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,6.0,,12
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,4.0,,9
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,3
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,4.0,,12
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,923.0,55.0,14
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,369.0,21.0,3
31,Kickoff Returns,The number of times a kickoff was returned.,KR,41.0,2.0,2
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,0.0,,1
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,943.0,55.0,15
34,Kickoffs,The number of kickoffs taken.,K,82.0,4.0,10
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,5105.0,106.0,10
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,60.0,,4
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,58.0,35.0,5
38,Long Kickoff,The distance of the longest kickoff.,LK,79.0,46.0,1
39,Team Games Played,The numbers of team games played.,GP,17.0,,1
40,Total Kicking Points,The number of total points earned kicking.,PTS,107.0,6.0,15
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,60.976,61.582000732421875,8
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,50.0,2.0,9
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1
2,Fumble Recoveries,The number of fumble recoveries.,FR,9.0,,17
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,5.0,,27
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,1
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1
8,Kick Returns,The number of kick returns.,ATT,41.0,2.0,3
9,Kick Return Touchdowns,The number of kick return touchdowns.,TD,0.0,,6
10,Kick Return Yards,The total yardage of kick returns.,YDS,943.0,55.0,4
11,Long Kick Return,The longest kick return in yards.,LNG,48.0,28.0,17
12,Long Punt Return,The longest punt return in yards.,LNG,76.0,12.0,2
13,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0.0,,1
