,displayName,description,abbreviation,value,perGameValue,rank
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,23.0,1.0,10.0
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,10.0,,7.0
2,Forced Fumbles,The total number of forced fumbles.,FF,14.0,,35.0
3,Fumbles Recovered,The number of fumbles recovered.,FR,7.0,1.0,19.0
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,0.0,,12.0
5,Games Played,Games Played,GP,17.0,,1.0
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1.0
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0.0,,4.0
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,0.0,,12.0
0,Average Gain,The average gained yards per position.,AG,482.609,,31.0
1,Completion Percentage,The percentage of completed passes.,CMP%,59.191,59.00600051879883,30.0
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,351.0,20.0,24.0
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,3913.0,,32.0
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,3.373,3.7739999294281006,30.0
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,20.0,1.0,29.0
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,60.0,31.0,28.0
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1.0
8,Net Passing Yards,The amount of net passing yards.,NYDS,3196.0,188.0,31.0
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,188.0,,31.0
10,Net Total Yards,The amount of net total yards.,NTYDS,4884.0,,31.0
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,287.29413,,31.0
12,Passing Attempts,The number of times a pass is attempted.,ATT,593.0,34.0,15.0
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,31.0,,32.0
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,171.0,10.0,27.0
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,15.0,,1.0
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,8.0,,1.0
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,2.53,,30.0
18,Passing Touchdowns,The total number of passing touchdowns.,TD,15.0,,30.0
19,Passing Yards,The total passing yards.,YDS,3463.0,203.0,31.0
20,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,1611.0,,31.0
21,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,1852.0,,27.0
22,Passing Yards Per Game,The number of passing yards per game.,YDS/G,203.706,,31.0
23,Passer Rating,Passer Rating,RTG,70.12167,59.5050048828125,79.0
24,Total Sacks,The total number of sacks.,SACK,38.0,2.0,16.0
25,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,267.0,15.0,18.0
26,Net Passing Attempts,Net Passing Attempts.,NATT,631.0,36.0,31.0
27,Team Games Played,The amount of games played.,TGP,17.0,,1.0
28,Total Offensive Plays,The number of total offensive plays.,TOP,1050.0,60.0,6.0
29,Total Points,The number of total points scored.,PTS,258.0,18.0,31.0
30,Total Points Per Game,The number of points scored per game.,TP,15.176,,31.0
31,Total Touchdowns,The number of touchdowns scored in total.,TD,24.0,1.0,32.0
