,displayName,description,abbreviation,value,perGameValue,rank
26,Net Passing Attempts,Net Passing Attempts.,NATT,435.0,25.0,36.0
27,Team Games Played,The amount of games played.,TGP,17.0,,1.0
28,Total Offensive Plays,The number of total offensive plays.,TOP,993.0,57.0,38.0
29,Total Points,The number of total points scored.,PTS,326.0,19.0,23.0
30,Total Points Per Game,The number of points scored per game.,TP,19.176,,23.0
31,Total Touchdowns,The number of touchdowns scored in total.,TD,37.0,2.0,19.0
32,Total Yards,The number of yards accumulated in total.,TYDS,5612.0,307.0,28.0
33,Total Yards From Scrimmage,The amound of total yards from the line of scrimmage.,CMP,0.0,,1.0
34,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,-1.0,-1.0,1.0
35,Two Point Pass,The number of times a pass was thrown for 2 points.,2PTP,1.0,,14.0
36,Two Point Pass Attempts,The number of times a pass was attempted on a 2-point conversion.,2PTPA,5.0,1.0,5.0
37,Yards From Scrimmage Per Game,The yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0
38,Yards Per Completion,The average number of yards per pass completion.,CMP,11.65,9.913000106811523,8.0
39,Yards Per Game,The average number of yards per game.,YDS/G,330.118,,28.0
40,Yards Per Pass Attempt,The average number yards per pass attempt.,AVG,6.891,6.941999912261963,20.0
41,Net Yards Per Pass Attempt,The average number net yards (taking sack yardage into account) per pass attempt.,NYDS/PA,5.101149425287356,5.2,
42,Quarterback Rating,Quarterback Rating.,RAT,80.30917,77.39818572998047,62.0
0,Average Gain,The average gained yards per position.,AG,559.679,,15.0
1,ESPN RB Rating,The ESPN Widereceiver Rating.,ESPNRB,3494.0,,1.0
2,Long Rushing,The amount of yards for the longest run.,LNG,67.0,37.0,9.0
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1.0
4,Net Total Yards,The amount of total net yards.,NTYDS,5233.0,,28.0
5,Net Yards Per Game,The total net yards gained per game.,CMP,307.82352,,28.0
6,Rushing Attempts,The total number of attempted rushes.,ATT,558.0,32.0,2.0
7,20+ Yard Rushing Plays,The number of rushing big plays gained.,BIG,20.0,,2.0
8,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,148.0,8.0,5.0
9,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,20.0,,2.0
10,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,2.0,,13.0
11,Rushing Touchdowns,The total number of rushing touchdowns.,TD,18.0,1.0,7.0
12,Rushing Yards,The total rushing yards.,YDS,3014.0,177.0,1.0
13,Rushing Yards Per Game,The average number of rushing yards per game.,YDS/G,177.294,,1.0
14,Stuffs,The number of times a run is stopped at or behind the line of scrimmage.,STF,49.0,,18.0
15,Stuff Yards Lost,The number of yards lost when a run is stuffed.,SYDSL,-97.0,,15.0
16,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
17,Total Offensive Plays,The number of offenseive plays run.,OP,993.0,57.0,38.0
18,Total Points,The number of total points earned.,PTS,326.0,19.0,23.0
19,Total Points Per Game,The average number of points scored per game.,TP/G,19.176,,23.0
20,Total Touchdowns,The number of total Touchdowns scored.,TD,37.0,2.0,19.0
21,Total Yards,The number of total yards gained.,TYDS,5612.0,307.0,28.0
22,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1.0
23,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTC,-1.0,-1.0,1.0
24,Two Point Rush,The number of rushes on 2-point attempts.,2PTR,0.0,,14.0
25,Two Point Rush Attempts,The number of times a 2-point conversion is attempted with a rush.,CMP,0.0,,20.0
26,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0
27,Yards Per Game,The average number of yards per game.,YDS/G,330.118,,28.0
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,5.401,5.427000045776367,1.0
0,Average Gain,The average gained yards per position.,AG,559.679,,15.0
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,4378.0,,32.0
2,Long Reception,The amount of yards for the longest reception.,LNG,56.0,36.0,27.0
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1.0
4,Net Total Yards,The amount of total net yards.,NTYDS,5233.0,,28.0
5,Net Yards Per Game,The total net yards gained per game.,CMP,307.82352,,28.0
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,38.0,,28.0
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,109.0,,32.0
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,16.0,,2.0
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,6.0,,5.0
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,359.0,21.0,32.0
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,19.0,1.0,19.0
12,Receiving Yards,The total receiving yards.,YDS,2598.0,152.0,32.0
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1146.0,67.0,32.0
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,1452.0,,32.0
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,152.824,,32.0
16,Receptions,The total number of receptions.,REC,223.0,13.0,32.0
17,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
18,Total Offensive Plays,The number of offenseive plays run.,OP,993.0,57.0,38.0
19,Total Points,The number of total points earned.,PTS,326.0,19.0,23.0
20,Total Points Per Game,The average number of points scored per game.,TP/G,19.176,,23.0
21,Total Touchdowns,The number of total Touchdowns scored.,TD,37.0,2.0,19.0
22,Total Yards,The number of total yards gained.,TYDS,5612.0,307.0,28.0
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1.0
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1.0
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,1.0,,14.0
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,4.0,1.0,6.0
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0
28,Yards Per Game,The average number of yards per game.,YDS/G,330.118,,28.0
29,Yards Per Reception,The average number of yards per reception.,AVG,11.65,11.913000106811523,8.0
0,Assist Tackles,The number of assists on tackles.,AST,411.0,21.0,1.0
1,Average Interception Yards,The average number of return yards per interception.,AVG,14.357,14.204000473022461,14.0
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,6.2,6.422999858856201,26.0
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,2.213,,32.0
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,2.0
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0.0,,7.0
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,0.0,,29.0
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1.0
8,Kicks Blocked,The number of times a kick was blocked.,KB,1.0,,13.0
9,Long Interception,The amount of yards of the longest interception return.,LNG,42.0,,17.0
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0.0,,6.0
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1.0
12,Passes Defended,The total number of passes defended.,PD,50.0,2.0,32.0
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,1.0
14,Sacks,The total number of sacks.,SACK,20.0,1.1759999990463257,32.0
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,124.0,7.294000148773193,32.0
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0.0,,10.0
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,812.0,43.0,8.0
