teamName ,displayName,description,abbreviation,value,perGameValue,rank
Bengals,Yards Per Game,The average number of yards per game.,YDS/G,385.176,,10
Bengals,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,3.995,3.903000116,26
Bengals,Average Gain,The average gained yards per position.,AG,620.081,,2
Bengals,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,7986,,6
Bengals,Long Reception,The amount of yards for the longest reception.,LNG,82,46,4
Bengals,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0,,1
Bengals,Net Total Yards,The amount of total net yards.,NTYDS,6145,,13
Bengals,Net Yards Per Game,The total net yards gained per game.,CMP,361.47058,,13
Bengals,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,63,,4
Bengals,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,208,,11
Bengals,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,10,,15
Bengals,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,4,,20
Bengals,Receiving Targets,The number of times a receiver is thrown to.,TGTS,540,31,20
Bengals,Receiving Touchdowns,The total number of receiving touchdowns.,TD,36,2,7
Bengals,Receiving Yards,The total receiving yards.,YDS,4806,282,7
Bengals,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,2449,144,3
Bengals,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,2357,,9
Bengals,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,282.706,,7
Bengals,Receptions,The total number of receptions.,REC,384,22,15
Bengals,Team Games Played,The numbers of team games played.,GP,17,,1
Bengals,Total Offensive Plays,The number of offenseive plays run.,OP,1046,60,42
Bengals,Total Points,The number of total points earned.,PTS,460,27,7
Bengals,Total Points Per Game,The average number of points scored per game.,TP/G,27.059,,7
Bengals,Total Touchdowns,The number of total Touchdowns scored.,TD,54,3,6
Bengals,Total Yards,The number of total yards gained.,TYDS,6548,361,10
Bengals,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0,,1
Bengals,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1,-1,1
Bengals,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,1,,17
Bengals,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,3,1,13
Bengals,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0,,1
Bengals,Yards Per Game,The average number of yards per game.,YDS/G,385.176,,10
Bengals,Yards Per Reception,The average number of yards per reception.,AVG,12.516,12.27400017,2
Bengals,Assist Tackles,The number of assists on tackles.,AST,441,23,33
Bengals,Average Interception Yards,The average number of return yards per interception.,AVG,20.462,18.79999924,1
Bengals,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,6.571,6.455999851,24
Bengals,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,6.158,,23
Bengals,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0,,1
Bengals,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0,,8
Bengals,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,2,,7
Bengals,Hurries,The number of times that the quarterback is hurried.,HUR,0,,1
Bengals,Kicks Blocked,The number of times a kick was blocked.,KB,0,,22
Bengals,Long Interception,The amount of yards of the longest interception return.,LNG,65,,11
Bengals,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0,,7
Bengals,Passes Batted Down,The number of passes that were batted down.,BATD,0,,1
Bengals,Passes Defended,The total number of passes defended.,PD,63,3,24
Bengals,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0,,2
Bengals,Sacks,The total number of sacks.,SACK,42,2.470999956,11
Bengals,Sack Yards,The number of yards lost from sacks.,SCKYDS,276,16.23500061,13
Bengals,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0,,5
Bengals,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,782,41,18
Bengals,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,38,3,10
Bengals,Stuff Yards,The number of yards lost from stuffs.,STFYDS,234,,14
Bengals,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,80,4.705999851,9
Bengals,Team Games Played,The numbers of team games played.,GP,17,,1
Bengals,Total Tackles,The total number of tackles.,TOT,1223,64,51
Bengals,Yards Allowed,Yards allowed,YA,0,,1
Bengals,Points Allowed,Points allowed,PA,0,,1
Bengals,One Point Safeties Made,One Point Safeties Made,OPSM,0,,1
Bengals,Interceptions,The total number of interceptions.,INT,13,,15
Bengals,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,1,,14
Bengals,Interception Yards,The number of yards gained after an interception.,YDS,266,15,5
Bengals,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,20.061,16.68600082,5
Bengals,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,62.768,21.43400002,9
Bengals,Extra Point Attempts,The number of extra point attempts.,XPA,49,2,3
Bengals,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,95.918,89.21600342,6
Bengals,Extra Point Blocked,The number of extra points blocked.,XPB,0,,1
Bengals,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0,,1
Bengals,Extra Points Made,The number of extra point attempts made.,XPM,47,2,3
Bengals,Fair Catches,The number of fair catches.,FC,0,,1
Bengals,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0,9.449000359,1
Bengals,Field Goal Attempts,The number of times a field goal is attempted.,FGA,34,2,6
Bengals,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0,,2
Bengals,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,5,,13
Bengals,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,9,,6
Bengals,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,9,,9
Bengals,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,11,,1
Bengals,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,0,,4
Bengals,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,11,,3
Bengals,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1416,83,5
Bengals,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,85.294,87.74500275,8
Bengals,Field Goals Blocked,The number of field goals that are blocked.,FGB,0,,1
Bengals,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,0,,1
Bengals,Field Goal Made,The number of times a field goal is made.,FGM,29,1,5
Bengals,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0,,2
Bengals,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,5,,13
Bengals,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,9,,5
Bengals,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,6,,10
Bengals,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,9,,1
Bengals,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0,,4
Bengals,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,9,,3
Bengals,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,1171,69,5
Bengals,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,245,14,8
Bengals,Kickoff Returns,The number of times a kickoff was returned.,KR,33,1,10
Bengals,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,0,,1
Bengals,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,662,38,4
Bengals,Kickoffs,The number of kickoffs taken.,K,95,5,5
Bengals,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,5963,128,6
Bengals,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,58,,5
Bengals,Long Field Goal Made,The distance of the longest field goal made.,LNG,58,40,5
Bengals,Long Kickoff,The distance of the longest kickoff.,LK,70,59,5
Bengals,Team Games Played,The numbers of team games played.,GP,17,,1
Bengals,Total Kicking Points,The number of total points earned kicking.,PTS,134,7,6
Bengals,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,58.947,60.53900146,7
Bengals,Touchbacks,The number of kickoffs that result in touchbacks.,TB,56,3,4
Bengals,Defensive Fumbles Returns,The number of fumble returns.,DFR,0,,1
Bengals,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0,,1
Bengals,Fumble Recoveries,The number of fumble recoveries.,FR,8,,11
Bengals,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,122,,2
Bengals,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0,,2
Bengals,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0,,1
Bengals,Kick Return Fumbles,The number of kick return fumbles.,KRF,0,,1
Bengals,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0,,1
Bengals,Kick Returns,The number of kick returns.,ATT,33,1,18
Bengals,Kick Return Touchdowns,The number of kick return touchdowns.,TD,0,,9
Bengals,Kick Return Yards,The total yardage of kick returns.,YDS,662,38,23
Bengals,Long Kick Return,The longest kick return in yards.,LNG,44,20,15
Bengals,Long Punt Return,The longest punt return in yards.,LNG,17,10,29
Bengals,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0,,1
Bengals,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0,,1
Bengals,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,7,,20
Bengals,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,120,,2
Bengals,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0,,1
Bengals,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0,,1
Bengals,Punt Return Fair Catches,The number of punt return fair catches.,FC,22,1,7
Bengals,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,61.111,,17
Bengals,Punt Return Fumbles,The number of punt return fumbles.,PRF,0,,1
Bengals,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0,,1
Bengals,Punt Returns,The number of punt returns.,ATT,36,2,4
Bengals,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0,,1
Bengals,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0,,1
Bengals,Punt Return Touchdowns,The number of punt return touchdowns.,TD,0,,3
Bengals,Punt Return Yards,The total yardage of punt returns.,YDS,261,15,11
Bengals,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0,,1
Bengals,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0,,1
Bengals,Team Games Played,The numbers of team games played.,GP,17,,1
Bengals,Yards Per Kick Return,The average number of yards per kick return.,AVG,20.061,16.68600082,24
Bengals,Yards Per Punt Return,The average number of yards per punt return.,AVG,7.25,6.763000011,25
Bengals,Yards Per Return,The average number of yards per return.,YDS/R,13.377,,27
Bengals,Average Punt Return Yards,The average number of yards per punt return.,AVG,8.393,6.763000011,20
Bengals,Fair Catches,The number of fair catches.,FC,15,,18
Bengals,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,46.424,43.4070015,15
Bengals,Long Punt,The distance of the longest punt.,LNG,61,50,30
Bengals,Net Average Punt Yards,The average net number of yards per punt.,NET,42.864,39.68199921,12
Bengals,Punt Returns,The number of times a punt was returned.,ATT,28,1,15
Bengals,Punt Return Yards,The total amount of yardage of punt returns.,YDS,235,13,18
Bengals,Punts,The number of punts taken.,PUNTS,66,3,14
Bengals,Punts Blocked,The number of times a punt was blocked.,PBLK,0,,10
Bengals,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,0,,10
Bengals,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,5,,28
Bengals,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,7.576,,30
Bengals,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,22,1,19
Bengals,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,33.333,29.35300064,22
Bengals,Punt Yards,The total amount of yardage of punts.,YDS,3064,180,16
Bengals,Team Games Played,The numbers of team games played.,GP,17,,1
Bengals,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,9.091,7.758999825,8
Bengals,Touchbacks,The number of kickoffs that result in touchbacks.,TB,6,,6
Bengals,Defensive Points,The number of points scored on defense.,DP,0,2,8
Bengals,Field Goals,The number of field goals made.,FG,29,1,9
Bengals,Kick Extra Points,The number of extra points made.,PAT,47,2,6
Bengals,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0,,1
Bengals,Passing Touchdowns,The total number of passing touchdowns.,PASS,36,2,7
Bengals,Receiving Touchdowns,The total number of receiving touchdowns.,REC,36,2,7
Bengals,Return Touchdowns,The total number of return touchdowns.,RET,2,,11
Bengals,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,16,,14
Bengals,Total Points,The number of total points scored.,PTS,460,26,7
Bengals,Total Points Per Game,The number of points scored per game.,TP/G,27.059,,7
Bengals,Total Touchdowns,The number of touchdowns scored in total.,TD,54,3,6
Bengals,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,1,,23
Bengals,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,1,,17
Bengals,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,1,,17
Bengals,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,0,,18
Bengals,One Point Safeties Made,One Point Safeties Made,OPSM,0,,1
Bengals,Total 1st downs,The the number of first downs.,CMP,337,19,18
Bengals,Passing 1st downs,The number of times a pass results in a first down.,FDP,208,12,11
Bengals,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,33,1,10
Bengals,First Downs Per Game,The average number of first downs per game.,FD/G,19.824,19,18
Bengals,Rushing 1st downs,The number of times a rush results in a first down.,FDR,96,5,24
Bengals,First Downs Attempts,The number of attempts at getting a first down.,FDA,20,1,25
Bengals,4th down %,The percentage of fourth down attempts that are converted.,4THC%,65,48.03900146,3
Bengals,Fourth Down Conversions,The number of times a fourth down is converted.,4THC,13,,14
Bengals,Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team .,LST,7,,
Bengals,Possession Time Seconds,The total time of possession in seconds.,POSS,32073,1886,6
Bengals,Red Zone Efficiency Percentage,The percentage of red zone attempts that are converted.,CMP,70.33,,15
Bengals,Red Zone Field Goal Percentage,The percentage of red zone trips that end in a field goal.,RZFG%,25,,19
Bengals,Red Zone Scoring Percentage,The percentage of red zone trips that result in a score.,RZ%,84.62,62,13
Bengals,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,59.62,,15
Bengals,Third Down Attempts,The number of 3rd down attempts.,3RDA,207,12,26
Bengals,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,39.614,39.77899933,16
Bengals,Third Down Conversions,The number of 3rd down conversions.,3RDC,82,4,21
Bengals,Total Giveaways,The total number of giveaways.,TGV,21,,
Bengals,Total Penalties,The total number of total penalties.,TPEN,72,4,31
Bengals,Total Penalty Yards,The total number of penalty yards.,TPY,620,36,32
Bengals,Total Takeaways,The total number of takeaways.,TT,21,,
Bengals,Total Drives,The total number of drives.,D,0,,
Bengals,Turnover Ratio,Difference between take-aways and give-aways,DIFF,0,,
Browns,Fumbles,The number of times a player/team has fumbled the ball,FUM,20,1,18
Browns,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,8,,17
Browns,Forced Fumbles,The total number of forced fumbles.,FF,14,,35
Browns,Fumbles Recovered,The number of fumbles recovered.,FR,6,,26
Browns,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,1,,4
Browns,Games Played,Games Played,GP,17,,1
Browns,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0,,1
Browns,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0,,4
Browns,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,1,,4
Browns,Average Gain,The average gained yards per position.,AG,576.219,,17
Browns,Completion Percentage,The percentage of completed passes.,CMP%,61.538,62.82799911,26
Browns,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,320,18,30
Browns,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,4669,,27
Browns,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,2.692,2.655999899,22
Browns,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,14,,14
Browns,Longest Pass,The longest pass play completed in terms of yards.,LNG,71,37,16
Browns,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0,,1
Browns,Net Passing Yards,The amount of net passing yards.,NYDS,3320,195,27
Browns,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,195.29411,,27
Browns,Net Total Yards,The amount of net total yards.,NTYDS,5791,,18
Browns,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,340.64706,,18
Browns,Passing Attempts,The number of times a pass is attempted.,ATT,520,30,28
Browns,Passing Big Plays,The number of times a pass results in a big play.,BIGP,47,,19
Browns,Passing 1st downs,The number of times a pass results in a first down.,FIRST,177,10,25
Browns,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,10,,15
Browns,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,7,,5
Browns,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,4.038,3.333333492,18
Browns,Passing Touchdowns,The total number of passing touchdowns.,TD,21,1,20
Browns,Passing Yards,The total passing yards.,YDS,3619,212,27
Browns,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,1749,,20
Browns,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,1870,,26
Browns,Passing Yards Per Game,The number of passing yards per game.,YDS/G,212.882,,27
Browns,Passer Rating,Passer Rating,RTG,84.60834,84.33861542,79
Browns,Total Sacks,The total number of sacks.,SACK,49,2,6
Browns,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,299,17,22
Browns,Net Passing Attempts,Net Passing Attempts.,NATT,569,32,34
Browns,Team Games Played,The amount of games played.,TGP,17,,1
Browns,Total Offensive Plays,The number of total offensive plays.,TOP,1054,60,43
Browns,Total Points,The number of total points scored.,PTS,349,22,20
Browns,Total Points Per Game,The number of points scored per game.,TP,20.529,,20
Browns,Total Touchdowns,The number of touchdowns scored in total.,TD,43,2,17
Browns,Total Yards,The number of yards accumulated in total.,TYDS,6090,340,18
Browns,Total Yards From Scrimmage,The amound of total yards from the line of scrimmage.,CMP,0,,1
Browns,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,-1,-1,1
Browns,Two Point Pass,The number of times a pass was thrown for 2 points.,2PTP,2,,6
Browns,Two Point Pass Attempts,The number of times a pass was attempted on a 2-point conversion.,2PTPA,3,1,14
Browns,Yards From Scrimmage Per Game,The yards gained from scrimmage per game.,SCRIM/G,0,,1
Browns,Yards Per Completion,The average number of yards per pass completion.,CMP,11.309,10.40999985,8
Browns,Yards Per Game,The average number of yards per game.,YDS/G,358.235,,18
Browns,Yards Per Pass Attempt,The average number yards per pass attempt.,AVG,6.96,7.164999962,18
Browns,Net Yards Per Pass Attempt,The average number net yards (taking sack yardage into account) per pass attempt.,NYDS/PA,5.834797891,6.09375,
Browns,Quarterback Rating,Quarterback Rating.,RAT,84.60834,84.33861542,79
Browns,Average Gain,The average gained yards per position.,AG,576.219,,17
Browns,ESPN RB Rating,The ESPN Widereceiver Rating.,ESPNRB,3051,,3
Browns,Long Rushing,The amount of yards for the longest run.,LNG,70,27,5
Browns,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0,,1
Browns,Net Total Yards,The amount of total net yards.,NTYDS,5791,,18
Browns,Net Yards Per Game,The total net yards gained per game.,CMP,340.64706,,18
Browns,Rushing Attempts,The total number of attempted rushes.,ATT,485,28,9
Browns,20+ Yard Rushing Plays,The number of rushing big plays gained.,BIG,18,,2
Browns,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,138,8,5
Browns,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,18,,2
Browns,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,1,,23
Browns,Rushing Touchdowns,The total number of rushing touchdowns.,TD,20,1,7
Browns,Rushing Yards,The total rushing yards.,YDS,2471,145,4
Browns,Rushing Yards Per Game,The average number of rushing yards per game.,YDS/G,145.353,,4
Browns,Stuffs,The number of times a run is stopped at or behind the line of scrimmage.,STF,50,,10
Browns,Stuff Yards Lost,The number of yards lost when a run is stuffed.,SYDSL,-94,,22
Browns,Team Games Played,The numbers of team games played.,GP,17,,1
Browns,Total Offensive Plays,The number of offenseive plays run.,OP,1054,60,43
Browns,Total Points,The number of total points earned.,PTS,349,22,20
Browns,Total Points Per Game,The average number of points scored per game.,TP/G,20.529,,20
Browns,Total Touchdowns,The number of total Touchdowns scored.,TD,43,2,17
Browns,Total Yards,The number of total yards gained.,TYDS,6090,340,18
Browns,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0,,1
Browns,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTC,-1,-1,1
Browns,Two Point Rush,The number of rushes on 2-point attempts.,2PTR,1,1,6
Browns,Two Point Rush Attempts,The number of times a 2-point conversion is attempted with a rush.,CMP,1,1,12
Browns,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0,,1
Browns,Yards Per Game,The average number of yards per game.,YDS/G,358.235,,18
Browns,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,5.095,5.010000229,1
Browns,Average Gain,The average gained yards per position.,AG,576.219,,17
Browns,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,5954,,26
Browns,Long Reception,The amount of yards for the longest reception.,LNG,71,37,16
Browns,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0,,1
Browns,Net Total Yards,The amount of total net yards.,NTYDS,5791,,18
Browns,Net Yards Per Game,The total net yards gained per game.,CMP,340.64706,,18
Browns,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,47,,19
Browns,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,177,,25
Browns,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,10,,15
Browns,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,7,,5
Browns,Receiving Targets,The number of times a receiver is thrown to.,TGTS,499,29,28
Browns,Receiving Touchdowns,The total number of receiving touchdowns.,TD,21,1,20
Browns,Receiving Yards,The total receiving yards.,YDS,3619,212,27
Browns,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1755,103,20
Browns,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,1864,,26
Browns,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,212.882,,27
Browns,Receptions,The total number of receptions.,REC,320,18,30
Browns,Team Games Played,The numbers of team games played.,GP,17,,1
Browns,Total Offensive Plays,The number of offenseive plays run.,OP,1054,60,43
Browns,Total Points,The number of total points earned.,PTS,349,22,20
Browns,Total Points Per Game,The average number of points scored per game.,TP/G,20.529,,20
Browns,Total Touchdowns,The number of total Touchdowns scored.,TD,43,2,17
Browns,Total Yards,The number of total yards gained.,TYDS,6090,340,18
Browns,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0,,1
Browns,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1,-1,1
Browns,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,2,,6
Browns,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,3,1,13
Browns,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0,,1
Browns,Yards Per Game,The average number of yards per game.,YDS/G,358.235,,18
Browns,Yards Per Reception,The average number of yards per reception.,AVG,11.309,11.375,8
Browns,Assist Tackles,The number of assists on tackles.,AST,439,23,3
Browns,Average Interception Yards,The average number of return yards per interception.,AVG,11.385,9.468999863,17
Browns,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,6.349,6.28000021,26
Browns,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,6.97,,15
Browns,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0,,1
Browns,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0,,8
Browns,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,2,,7
Browns,Hurries,The number of times that the quarterback is hurried.,HUR,0,,1
Browns,Kicks Blocked,The number of times a kick was blocked.,KB,1,,9
Browns,Long Interception,The amount of yards of the longest interception return.,LNG,99,,1
Browns,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0,,7
Browns,Passes Batted Down,The number of passes that were batted down.,BATD,0,,1
Browns,Passes Defended,The total number of passes defended.,PD,79,4,11
Browns,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0,,2
Browns,Sacks,The total number of sacks.,SACK,43,2.529000044,9
Browns,Sack Yards,The number of yards lost from sacks.,SCKYDS,273,16.05900002,15
Browns,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0,,5
Browns,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,765,39,49
Browns,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,33,3,16
Browns,Stuff Yards,The number of yards lost from stuffs.,STFYDS,230,,16
Browns,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,76,4.471000195,11
Browns,Team Games Played,The numbers of team games played.,GP,17,,1
Browns,Total Tackles,The total number of tackles.,TOT,1204,62,46
Browns,Yards Allowed,Yards allowed,YA,0,,1
Browns,Points Allowed,Points allowed,PA,0,,1
Browns,One Point Safeties Made,One Point Safeties Made,OPSM,0,,1
Browns,Interceptions,The total number of interceptions.,INT,13,,15
Browns,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,1,,14
Browns,Interception Yards,The number of yards gained after an interception.,YDS,148,8,17
Browns,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,20.7,18.96100044,6
Browns,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,63.027,33.32300186,6
Browns,Extra Point Attempts,The number of extra point attempts.,XPA,39,2,8
Browns,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,94.872,88.23500061,7
Browns,Extra Point Blocked,The number of extra points blocked.,XPB,1,,14
Browns,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,2.564,2.940999985,15
Browns,Extra Points Made,The number of extra point attempts made.,XPM,37,2,8
Browns,Fair Catches,The number of fair catches.,FC,0,,1
Browns,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0,9.854000092,1
Browns,Field Goal Attempts,The number of times a field goal is attempted.,FGA,22,1,16
Browns,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0,,2
Browns,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,3,,15
Browns,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,5,,15
Browns,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,10,,7
