,displayName,description,abbreviation,value,perGameValue,rank
27,Yards Per Game,The average number of yards per game.,YDS/G,350.0,,18
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.844,4.8460001945495605,5
0,Average Gain,The average gained yards per position.,AG,545.769,,22
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,5756.0,,27
2,Long Reception,The amount of yards for the longest reception.,LNG,65.0,33.0,18
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,5676.0,,18
5,Net Yards Per Game,The total net yards gained per game.,CMP,333.88235,,18
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,28.0,,32
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,170.0,,24
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,9.0,,12
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,6.0,,5
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,489.0,28.0,27
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,17.0,1.0,24
12,Receiving Yards,The total receiving yards.,YDS,3431.0,201.0,27
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1698.0,99.0,22
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,1733.0,,27
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,201.824,,27
16,Receptions,The total number of receptions.,REC,346.0,20.0,22
17,Team Games Played,The numbers of team games played.,GP,17.0,,1
18,Total Offensive Plays,The number of offenseive plays run.,OP,1089.0,62.0,28
19,Total Points,The number of total points earned.,PTS,365.0,21.0,15
20,Total Points Per Game,The average number of points scored per game.,TP/G,21.471,,15
21,Total Touchdowns,The number of total Touchdowns scored.,TD,40.0,2.0,16
22,Total Yards,The number of total yards gained.,TYDS,5950.0,333.0,18
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,3.0,,1
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,5.0,1.0,4
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1
28,Yards Per Game,The average number of yards per game.,YDS/G,350.0,,18
29,Yards Per Reception,The average number of yards per reception.,AVG,9.916,9.98799991607666,28
0,Assist Tackles,The number of assists on tackles.,AST,436.0,24.0,35
1,Average Interception Yards,The average number of return yards per interception.,AVG,16.167,17.600000381469727,8
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,6.61,6.605999946594238,16
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,7.188,,12
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,2
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0.0,,7
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,2.0,,10
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1
8,Kicks Blocked,The number of times a kick was blocked.,KB,2.0,,7
9,Long Interception,The amount of yards of the longest interception return.,LNG,52.0,,12
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0.0,,6
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1
12,Passes Defended,The total number of passes defended.,PD,75.0,4.0,13
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,1
14,Sacks,The total number of sacks.,SACK,41.0,2.4119999408721924,13
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,271.0,15.940999984741211,16
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0.0,,10
