,PlayerID,PlayerName,Position
11,106093,Jalen Nailor,WR
12,106248,Andrew Ogletree,TE
13,106236,Devin Harper,ILB
14,106126,Jordan Jackson,DT
15,105583,Jamaree Salyer,OG
16,106050,Tyler Badie,RB
17,105945,Gregory Junior,CB
18,105920,Grant Calcaterra,TE
19,105637,Cade Mays,OG
20,106249,Sam Roberts,DT
21,105999,Keaontay Ingram,RB
22,106250,Michael Woods II,WR
23,106239,Trestan Ebner,RB
24,106251,Theo Jackson,S
25,105461,Austin Deculus,OT
26,105900,Matt Henningsen,DT
27,105744,Doug Kramer,C
28,106053,Connor Heyward,FB
29,106081,Luke Tenuta,OT
30,105943,Chasen Hines,OG
31,105654,Quentin Lake,S
32,105616,Derion Kendrick,CB
33,105911,John FitzPatrick,TE
34,106252,Ja'Sir Taylor,CB
35,105898,Lecitus Smith,OG
36,106237,Curtis Brooks,DT
37,106087,James Houston,OLB
38,106253,Ko Kieft,TE
39,106099,Chance Campbell,ILB
40,106103,Kalia Davis,DT
41,105735,Tariq Castro-Fields,CB
0,106111,Montaric Brown,CB
1,106033,Isaiah Thomas,DE
2,106254,Cameron Goode,OLB
3,106255,Mark Robinson,OLB
4,105765,Ja'Tyre Carter,OG
5,106256,Nick Muse,TE
6,106049,Tariq Carpenter,ILB
7,105932,Bo Melton,WR
8,105891,Chris Paul,OG
9,106136,Baylon Spector,ILB
10,106257,Faion Hicks,CB
11,106240,Dareke Young,WR
12,106115,Jonathan Ford,DT
13,106258,Daniel Hardy,OLB
14,106259,Deane Leonard,CB
15,105612,Chase Lucas,CB
16,105602,Thayer Munford,OT
17,106260,Rodney Thomas II,S
18,106261,Christian Holmes,CB
19,106262,Chris Oladokun,QB
20,105953,Kalon Barnes,CB
21,105923,Jaylen Watson,CB
22,106263,Christian Matthew,CB
23,105901,Andrew Stueber,OG
24,105650,Dawson Deaton,C
25,105946,Skylar Thompson,QB
26,106265,Andre Anthony,DE
27,106104,Rasheed Walker,OT
28,106266,Brittain Brown,RB
29,105996,Isaih Pacheco,RB
30,106030,Jeffrey Gunter,DE
31,106267,Russ Yeast,S
32,106268,Elijah Hicks,S
33,106269,Trenton Gill,P
34,105682,Jesse Luketa,OLB
35,105942,Marquis Hayes,OG
36,106270,Samori Toure,WR
37,106271,Nazeeh Johnson,S
38,106272,Zander Horvath,FB
39,106273,AJ Arcuri,OT
40,105721,Brock Purdy,QB
