,displayName,description,abbreviation,value,perGameValue,rank
27,Yards Per Game,The average number of yards per game.,YDS/G,319.353,,28
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.477,4.318999767303467,9
0,Average Gain,The average gained yards per position.,AG,521.185,,25
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,5899.0,,28
2,Long Reception,The amount of yards for the longest reception.,LNG,58.0,31.0,30
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,5191.0,,27
5,Net Yards Per Game,The total net yards gained per game.,CMP,305.35294,,27
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,44.0,,22
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,178.0,,24
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,11.0,,8
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,7.0,,5
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,583.0,34.0,11
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,12.0,,32
12,Receiving Yards,The total receiving yards.,YDS,3674.0,216.0,24
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1646.0,96.0,30
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,2028.0,,19
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,216.118,,24
16,Receptions,The total number of receptions.,REC,361.0,21.0,18
17,Team Games Played,The numbers of team games played.,GP,17.0,,1
18,Total Offensive Plays,The number of offenseive plays run.,OP,1028.0,59.0,4
19,Total Points,The number of total points earned.,PTS,253.0,15.0,32
20,Total Points Per Game,The average number of points scored per game.,TP/G,14.882,,32
21,Total Touchdowns,The number of total Touchdowns scored.,TD,28.0,1.0,31
22,Total Yards,The number of total yards gained.,TYDS,5429.0,305.0,28
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,2.0,,6
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,5.0,1.0,4
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1
28,Yards Per Game,The average number of yards per game.,YDS/G,319.353,,28
29,Yards Per Reception,The average number of yards per reception.,AVG,10.177,10.16100025177002,28
0,Assist Tackles,The number of assists on tackles.,AST,452.0,24.0,13
1,Average Interception Yards,The average number of return yards per interception.,AVG,8.143,7.916999816894531,28
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,7.375,6.61299991607666,11
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,6.581,,17
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,1
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0.0,,8
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,0.0,,26
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1
8,Kicks Blocked,The number of times a kick was blocked.,KB,2.0,,3
9,Long Interception,The amount of yards of the longest interception return.,LNG,23.0,,31
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,1.0,,3
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1
12,Passes Defended,The total number of passes defended.,PD,50.0,2.0,32
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,2
14,Sacks,The total number of sacks.,SACK,32.0,1.8819999694824219,27
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,236.0,13.881999969482422,21
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0.0,,5
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,790.0,41.0,34
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,31.0,4.0,17
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,204.0,,21
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,63.0,3.7060000896453857,23
21,Team Games Played,The numbers of team games played.,GP,17.0,,1
22,Total Tackles,The total number of tackles.,TOT,1242.0,65.0,47
23,Yards Allowed,Yards allowed,YA,0.0,,1
24,Points Allowed,Points allowed,PA,0.0,,1
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Interceptions,The total number of interceptions.,INT,7.0,,30
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,0.0,,24
2,Interception Yards,The number of yards gained after an interception.,YDS,57.0,3.0,31
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,22.194,19.39699935913086,8
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,60.774,39.09199905395508,14
2,Extra Point Attempts,The number of extra point attempts.,XPA,22.0,1.0,16
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,81.818,63.724998474121094,16
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1
6,Extra Points Made,The number of extra point attempts made.,XPM,18.0,1.0,16
7,Fair Catches,The number of fair catches.,FC,0.0,,1
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,23.17300033569336,1
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,27.0,1.0,12
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,2
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,7.0,,7
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,7.0,,12
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,5.0,,15
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,8.0,,4
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,0.0,,4
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,8.0,,8
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1047.0,64.0,13
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,77.778,48.52899932861328,12
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,0.0,,1
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,0.0,,1
21,Field Goal Made,The number of times a field goal is made.,FGM,21.0,1.0,13
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,2
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,7.0,,6
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,7.0,,10
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,3.0,,15
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,4.0,,8
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,4
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,4.0,,12
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,746.0,43.0,14
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,301.0,20.0,2
31,Kickoff Returns,The number of times a kickoff was returned.,KR,36.0,2.0,7
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,3.0,,16
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,799.0,47.0,10
34,Kickoffs,The number of kickoffs taken.,K,62.0,3.0,16
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,3768.0,137.0,16
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,56.0,,9
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,88.0,22.0,1
38,Long Kickoff,The distance of the longest kickoff.,LK,70.0,55.0,5
39,Team Games Played,The numbers of team games played.,GP,17.0,,1
40,Total Kicking Points,The number of total points earned kicking.,PTS,81.0,4.0,16
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,35.484,32.35300064086914,16
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,22.0,1.0,16
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1
2,Fumble Recoveries,The number of fumble recoveries.,FR,2.0,,32
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,0.0,,29
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,2
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1
8,Kick Returns,The number of kick returns.,ATT,36.0,2.0,11
9,Kick Return Touchdowns,The number of kick return touchdowns.,TD,1.0,,2
10,Kick Return Yards,The total yardage of kick returns.,YDS,799.0,47.0,14
11,Long Kick Return,The longest kick return in yards.,LNG,102.0,24.0,1
12,Long Punt Return,The longest punt return in yards.,LNG,48.0,7.0,4
13,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0.0,,1
14,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0.0,,1
15,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,12.0,,1
16,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,45.0,,8
17,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0.0,,1
18,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0.0,,1
19,Punt Return Fair Catches,The number of punt return fair catches.,FC,30.0,1.0,1
20,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,157.895,,1
21,Punt Return Fumbles,The number of punt return fumbles.,PRF,0.0,,1
22,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0.0,,1
23,Punt Returns,The number of punt returns.,ATT,19.0,1.0,27
24,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0.0,,1
25,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0.0,,1
26,Punt Return Touchdowns,The number of punt return touchdowns.,TD,0.0,,3
27,Punt Return Yards,The total yardage of punt returns.,YDS,159.0,9.0,30
28,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0.0,,1
29,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0.0,,1
30,Team Games Played,The numbers of team games played.,GP,17.0,,1
31,Yards Per Kick Return,The average number of yards per kick return.,AVG,22.194,19.39699935913086,16
32,Yards Per Punt Return,The average number of yards per punt return.,AVG,8.368,4.724999904632568,16
33,Yards Per Return,The average number of yards per return.,YDS/R,17.418,,11
0,Average Punt Return Yards,The average number of yards per punt return.,AVG,8.182,4.724999904632568,21
1,Fair Catches,The number of fair catches.,FC,30.0,1.0,1
2,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,47.0,46.83599853515625,8
3,Long Punt,The distance of the longest punt.,LNG,68.0,54.0,9
4,Net Average Punt Yards,The average net number of yards per punt.,NET,43.847,44.09600067138672,6
5,Punt Returns,The number of times a punt was returned.,ATT,22.0,1.0,25
6,Punt Return Yards,The total amount of yardage of punt returns.,YDS,180.0,10.0,25
7,Punts,The number of punts taken.,PUNTS,71.0,4.0,9
8,Punts Blocked,The number of times a punt was blocked.,PBLK,1.0,,3
9,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,1.408,0.00800000037997961,8
