,displayName,description,abbreviation,value,perGameValue,rank
27,Yards Per Game,The average number of yards per game.,YDS/G,349.529,,19
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.358,4.418000221252441,17
0,Average Gain,The average gained yards per position.,AG,544.532,,23
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,6362.0,,19
2,Long Reception,The amount of yards for the longest reception.,LNG,67.0,43.0,15
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,5527.0,,21
5,Net Yards Per Game,The total net yards gained per game.,CMP,325.11765,,21
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,55.0,,9
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,166.0,,25
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,6.0,,27
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,3.0,,26
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,541.0,31.0,18
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,18.0,1.0,23
12,Receiving Yards,The total receiving yards.,YDS,4007.0,235.0,15
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1988.0,116.0,12
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,2019.0,,20
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,235.706,,15
16,Receptions,The total number of receptions.,REC,345.0,20.0,23
17,Team Games Played,The numbers of team games played.,GP,17.0,,1
18,Total Offensive Plays,The number of offenseive plays run.,OP,1078.0,62.0,2
19,Total Points,The number of total points earned.,PTS,287.0,16.0,32
20,Total Points Per Game,The average number of points scored per game.,TP/G,16.882,,32
21,Total Touchdowns,The number of total Touchdowns scored.,TD,29.0,1.0,28
22,Total Yards,The number of total yards gained.,TYDS,5942.0,325.0,19
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,0.0,,21
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,1.0,1.0,22
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1
28,Yards Per Game,The average number of yards per game.,YDS/G,349.529,,19
29,Yards Per Reception,The average number of yards per reception.,AVG,11.614,12.0600004196167,10
0,Assist Tackles,The number of assists on tackles.,AST,475.0,25.0,31
1,Average Interception Yards,The average number of return yards per interception.,AVG,5.933,3.9790000915527344,29
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,6.806,7.035999774932861,13
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,7.464,,10
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,2
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0.0,,7
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,0.0,,29
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1
8,Kicks Blocked,The number of times a kick was blocked.,KB,1.0,,13
9,Long Interception,The amount of yards of the longest interception return.,LNG,43.0,,15
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0.0,,6
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1
12,Passes Defended,The total number of passes defended.,PD,67.0,3.0,20
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,1
14,Sacks,The total number of sacks.,SACK,36.0,2.118000030517578,23
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,245.0,14.411999702453613,22
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,1.0,,1
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,781.0,41.0,3
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,28.0,3.0,28
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,209.0,,22
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,64.0,3.765000104904175,30
21,Team Games Played,The numbers of team games played.,GP,17.0,,1
22,Total Tackles,The total number of tackles.,TOT,1256.0,66.0,34
23,Yards Allowed,Yards allowed,YA,0.0,,1
24,Points Allowed,Points allowed,PA,0.0,,1
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Interceptions,The total number of interceptions.,INT,15.0,,10
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,0.0,,25
2,Interception Yards,The number of yards gained after an interception.,YDS,89.0,5.0,28
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,17.5,15.579000473022461,1
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,62.753,18.25200080871582,2
2,Extra Point Attempts,The number of extra point attempts.,XPA,27.0,1.0,4
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,92.593,68.62799835205078,3
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1
6,Extra Points Made,The number of extra point attempts made.,XPM,25.0,1.0,4
7,Fair Catches,The number of fair catches.,FC,0.0,,1
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,17.20400047302246,1
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,36.0,2.0,2
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,2
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,7.0,,4
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,6.0,,4
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,10.0,,1
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,11.0,,2
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,2.0,,1
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,13.0,,3
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1548.0,91.0,1
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,77.778,70.58799743652344,3
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,2.0,,4
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,5.556,2.940999984741211,4
21,Field Goal Made,The number of times a field goal is made.,FGM,28.0,1.0,3
