,displayName,description,abbreviation,value,perGameValue,rank
27,Yards Per Game,The average number of yards per game.,YDS/G,377.0,,8
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.683,4.679999828338623,10
0,Average Gain,The average gained yards per position.,AG,611.811,,5
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,6789.0,,13
2,Long Reception,The amount of yards for the longest reception.,LNG,57.0,38.0,25
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,6216.0,,5
5,Net Yards Per Game,The total net yards gained per game.,CMP,365.64706,,5
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,56.0,,7
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,188.0,,18
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,5.0,,30
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,4.0,,21
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,504.0,29.0,25
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,30.0,1.0,4
12,Receiving Yards,The total receiving yards.,YDS,4049.0,238.0,13
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,2240.0,131.0,5
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,1809.0,,25
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,238.176,,13
16,Receptions,The total number of receptions.,REC,338.0,19.0,25
17,Team Games Played,The numbers of team games played.,GP,17.0,,1
18,Total Offensive Plays,The number of offenseive plays run.,OP,1047.0,60.0,10
19,Total Points,The number of total points earned.,PTS,450.0,26.0,6
20,Total Points Per Game,The average number of points scored per game.,TP/G,26.471,,6
21,Total Touchdowns,The number of total Touchdowns scored.,TD,53.0,3.0,5
22,Total Yards,The number of total yards gained.,TYDS,6409.0,365.0,7
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,0.0,,21
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,0.0,,30
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1
28,Yards Per Game,The average number of yards per game.,YDS/G,377.0,,8
29,Yards Per Reception,The average number of yards per reception.,AVG,11.979,12.222999572753906,5
0,Assist Tackles,The number of assists on tackles.,AST,439.0,22.0,4
1,Average Interception Yards,The average number of return yards per interception.,AVG,15.25,15.736000061035156,11
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,6.977,7.125,11
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,7.97,,7
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,2
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0.0,,7
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,3.0,,4
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1
8,Kicks Blocked,The number of times a kick was blocked.,KB,0.0,,28
9,Long Interception,The amount of yards of the longest interception return.,LNG,56.0,,9
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0.0,,6
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1
12,Passes Defended,The total number of passes defended.,PD,78.0,4.0,9
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,1
14,Sacks,The total number of sacks.,SACK,44.0,2.5880000591278076,9
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,307.0,18.05900001525879,6
