,id,fullName,active
203,14534,Mister Alexander,False
204,8074,Patrise Alexander,False
205,5846,Roc Alexander,False
206,2150,Shaun Alexander,False
207,1478,Stephen Alexander,False
208,3117241,Terrence Alexander,False
209,2976556,Vadal Alexander,False
210,4263210,Justin Alexandre,False
211,6300,Rich Alexis,False
212,3117242,Joey Alfieri,False
213,1625,Brian Alford,False
214,4401823,Dee Alford,True
215,14734,Dominic Alford,False
216,10525,Jay Alford,False
217,3052686,Mario Alford,False
218,15817,Robert Alford,False
219,10967,Charles Ali,False
220,4259976,Josh Ali,True
221,2469470,Ricky Ali'ifua,False
222,2998565,Mo Alie-Cox,True
223,7752,Tuineau Alipate,False
224,15601,Shea Allard,False
225,3115922,Nick Allegretti,True
226,10532,Andy Alleman,False
227,14212,Anthony Allen,False
228,15061,Antonio Allen,False
229,14358,Armando Allen,False
230,12630,Asher Allen,False
231,3046412,Austin Allen,False
232,4240787,Austin Allen,True
233,16912,Beau Allen,False
234,2574511,Brandon Allen,True
235,2631,Brian Allen,False
236,3781,Brian Allen,False
237,2971632,Brian Allen,False
238,3134666,Brian Allen,True
239,2975680,Chase Allen,False
240,4035526,Chase Allen,True
241,4241446,Christopher Allen,False
242,14109,Cortez Allen,False
243,3139453,Dakota Allen,False
244,3059554,Darius Allen,False
245,4760,David Allen,False
246,2582033,Davonte Allen,False
247,3046392,Dejon Allen,False
248,17370,Denicos Allen,False
249,3052083,Devon Allen,True
250,14901,Dwayne Allen,False
251,107,Eric Allen,False
252,3920560,Floyd Allen,False
253,4368,Ian Allen,False
254,2576254,Jack Allen,False
255,11734,Jake Allen,False
256,1420,James Allen,False
257,3610,James Allen,False
258,5651,Jared Allen,False
259,9602,Jason Allen,False
260,2577253,Javorius Allen,False
261,14990,Jeff Allen,False
262,3054840,Jonathan Allen,True
263,17102,Josh Allen,False
264,3915239,Josh Allen,True
265,3918298,Josh Allen,True
266,3916334,Julian Allen,False
267,15818,Keenan Allen,True
268,4761,Kenderick Allen,False
269,3045226,Kenny Allen,False
270,3115293,Kyle Allen,True
271,609,Larry Allen,False
272,4573313,Larry Allen,False
273,6465,Marcus Allen,False
274,3116149,Marcus Allen,False
275,4300,Matt Allen,False
276,13257,Nate Allen,False
277,14219,Pierre Allen,False
278,3933340,Randy Allen,False
279,17423,RaShaun Allen,False
280,16882,Ricardo Allen,False
281,12754,Roger Allen,False
282,12755,Russell Allen,False
283,16382,Ryan Allen,False
284,1345,Taje Allen,False
285,77,Terry Allen,False
286,16962,Torrence Allen,False
287,2586895,Tovar Allen,False
288,8178,Tremayne Allen,False
289,2570,Will Allen,False
290,5636,Will Allen,False
291,16674,Zach Allen,False
292,3915282,Zach Allen,True
293,3118835,Larry Allen Jr.,False
294,3126478,Bryson Allen-Williams,False
295,4373626,Tyler Allgeier,True
296,4683124,Hinwa Allieu,False
297,10589,Aundrae Allison,False
298,3115913,Geronimo Allison,False
299,3120566,Jalen Allison,False
300,4040893,Jeff Allison,False
301,7554,Brian McCray Allred,False
302,9847,Colin Allred,False
303,1194,John Allred,False
304,6895,Jeff Alm,False
305,15819,Kiko Alonso,False
