,displayName,description,abbreviation,value,perGameValue,rank
23,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTC,-1.0,-1.0,1.0
24,Two Point Rush,The number of rushes on 2-point attempts.,2PTR,0.0,,18.0
25,Two Point Rush Attempts,The number of times a 2-point conversion is attempted with a rush.,CMP,1.0,1.0,12.0
26,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0
27,Yards Per Game,The average number of yards per game.,YDS/G,360.471,,17.0
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,5.09,5.059000015258789,2.0
0,Average Gain,The average gained yards per position.,AG,578.529,,16.0
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,6153.0,,24.0
2,Long Reception,The amount of yards for the longest reception.,LNG,76.0,39.0,7.0
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1.0
4,Net Total Yards,The amount of total net yards.,NTYDS,5901.0,,16.0
5,Net Yards Per Game,The total net yards gained per game.,CMP,347.11765,,16.0
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,42.0,,25.0
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,167.0,,28.0
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,9.0,,19.0
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,5.0,,12.0
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,502.0,29.0,27.0
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,27.0,1.0,12.0
12,Receiving Yards,The total receiving yards.,YDS,3588.0,211.0,28.0
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1657.0,97.0,29.0
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,1931.0,,24.0
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,211.059,,28.0
16,Receptions,The total number of receptions.,REC,324.0,19.0,28.0
17,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
18,Total Offensive Plays,The number of offenseive plays run.,OP,1052.0,60.0,1.0
19,Total Points,The number of total points earned.,PTS,451.0,27.0,9.0
20,Total Points Per Game,The average number of points scored per game.,TP/G,26.529,,9.0
21,Total Touchdowns,The number of total Touchdowns scored.,TD,52.0,3.0,8.0
22,Total Yards,The number of total yards gained.,TYDS,6128.0,347.0,17.0
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1.0
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1.0
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,2.0,,6.0
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,4.0,1.0,8.0
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0
28,Yards Per Game,The average number of yards per game.,YDS/G,360.471,,17.0
29,Yards Per Reception,The average number of yards per reception.,AVG,11.074,11.25100040435791,16.0
0,Assist Tackles,The number of assists on tackles.,AST,364.0,19.0,1.0
1,Average Interception Yards,The average number of return yards per interception.,AVG,9.211,7.485000133514404,24.0
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,6.758,7.078000068664551,19.0
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,8.261,,9.0
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,1.0
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,2.0,,1.0
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,1.0,,18.0
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1.0
8,Kicks Blocked,The number of times a kick was blocked.,KB,2.0,,3.0
9,Long Interception,The amount of yards of the longest interception return.,LNG,32.0,,24.0
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,2.0,,1.0
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1.0
12,Passes Defended,The total number of passes defended.,PD,69.0,4.0,19.0
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,2.0
14,Sacks,The total number of sacks.,SACK,33.0,1.940999984741211,25.0
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,223.0,13.118000030517578,25.0
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0.0,,5.0
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,839.0,43.0,25.0
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,23.0,3.0,28.0
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,190.0,,25.0
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,56.0,3.2939999103546143,29.0
21,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
22,Total Tackles,The total number of tackles.,TOT,1203.0,62.0,24.0
23,Yards Allowed,Yards allowed,YA,0.0,,1.0
24,Points Allowed,Points allowed,PA,0.0,,1.0
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1.0
0,Interceptions,The total number of interceptions.,INT,19.0,1.0,3.0
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,0.0,,24.0
2,Interception Yards,The number of yards gained after an interception.,YDS,175.0,10.0,13.0
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,24.485,24.621999740600586,14.0
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,62.884,29.461999893188477,7.0
2,Extra Point Attempts,The number of extra point attempts.,XPA,47.0,2.0,4.0
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,97.872,91.1760025024414,3.0
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1.0
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1.0
6,Extra Points Made,The number of extra point attempts made.,XPM,46.0,2.0,4.0
7,Fair Catches,The number of fair catches.,FC,0.0,,1.0
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,10.253999710083008,1.0
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,35.0,2.0,5.0
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,2.0
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,7.0,,7.0
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,11.0,,4.0
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,15.0,,1.0
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,2.0,,15.0
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,0.0,,4.0
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,2.0,,11.0
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1331.0,81.0,6.0
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,82.857,88.72599792480469,10.0
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,1.0,,13.0
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,2.857,1.4709999561309814,13.0
21,Field Goal Made,The number of times a field goal is made.,FGM,29.0,1.0,5.0
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,2.0
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,7.0,,6.0
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,9.0,,5.0
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,13.0,,1.0
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,0.0,,16.0
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,4.0
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,0.0,,12.0
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,1059.0,62.0,7.0
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,272.0,19.0,5.0
31,Kickoff Returns,The number of times a kickoff was returned.,KR,33.0,1.0,10.0
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,0.0,,1.0
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,808.0,47.0,11.0
34,Kickoffs,The number of kickoffs taken.,K,95.0,5.0,5.0
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,5974.0,171.0,5.0
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,53.0,,14.0
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,48.0,39.0,16.0
38,Long Kickoff,The distance of the longest kickoff.,LK,70.0,54.0,5.0
39,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
40,Total Kicking Points,The number of total points earned kicking.,PTS,133.0,7.0,8.0
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,49.474,50.44200134277344,11.0
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,47.0,2.0,10.0
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1.0
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1.0
2,Fumble Recoveries,The number of fumble recoveries.,FR,14.0,,1.0
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,56.0,,8.0
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,2.0
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1.0
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1.0
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1.0
8,Kick Returns,The number of kick returns.,ATT,33.0,1.0,18.0
9,Kick Return Touchdowns,The number of kick return touchdowns.,TD,0.0,,9.0
10,Kick Return Yards,The total yardage of kick returns.,YDS,808.0,47.0,13.0
11,Long Kick Return,The longest kick return in yards.,LNG,72.0,27.0,9.0
12,Long Punt Return,The longest punt return in yards.,LNG,16.0,6.0,30.0
13,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0.0,,1.0
14,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0.0,,1.0
15,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,11.0,,4.0
16,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,27.0,,16.0
17,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0.0,,1.0
18,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0.0,,1.0
19,Punt Return Fair Catches,The number of punt return fair catches.,FC,14.0,,19.0
20,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,60.87,,18.0
21,Punt Return Fumbles,The number of punt return fumbles.,PRF,0.0,,1.0
22,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0.0,,1.0
23,Punt Returns,The number of punt returns.,ATT,23.0,1.0,23.0
24,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0.0,,1.0
25,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0.0,,1.0
26,Punt Return Touchdowns,The number of punt return touchdowns.,TD,0.0,,3.0
27,Punt Return Yards,The total yardage of punt returns.,YDS,170.0,10.0,29.0
28,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0.0,,1.0
29,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0.0,,1.0
30,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
31,Yards Per Kick Return,The average number of yards per kick return.,AVG,24.485,24.621999740600586,6.0
32,Yards Per Punt Return,The average number of yards per punt return.,AVG,7.391,5.218999862670898,24.0
33,Yards Per Return,The average number of yards per return.,YDS/R,17.464,,10.0
0,Average Punt Return Yards,The average number of yards per punt return.,AVG,9.536,6.3379998207092285,8.0
1,Fair Catches,The number of fair catches.,FC,15.0,,18.0
2,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,44.525,43.435001373291016,22.0
3,Long Punt,The distance of the longest punt.,LNG,79.0,51.0,2.0
4,Net Average Punt Yards,The average net number of yards per punt.,NET,40.0,39.7140007019043,26.0
5,Punt Returns,The number of times a punt was returned.,ATT,28.0,1.0,15.0
6,Punt Return Yards,The total amount of yardage of punt returns.,YDS,267.0,15.0,11.0
7,Punts,The number of punts taken.,PUNTS,59.0,3.0,22.0
8,Punts Blocked,The number of times a punt was blocked.,PBLK,0.0,,10.0
9,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,0.0,,10.0
10,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,8.0,,12.0
11,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,13.559,,14.0
12,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,24.0,1.0,12.0
13,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,40.678,46.52899932861328,9.0
14,Punt Yards,The total amount of yardage of punts.,YDS,2627.0,154.0,22.0
15,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
16,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,1.695,0.9810000061988831,31.0
17,Touchbacks,The number of kickoffs that result in touchbacks.,TB,1.0,,30.0
0,Defensive Points,The number of points scored on defense.,DP,2.0,6.0,1.0
1,Field Goals,The number of field goals made.,FG,29.0,1.0,9.0
2,Kick Extra Points,The number of extra points made.,PAT,46.0,2.0,9.0
3,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0.0,,1.0
4,Passing Touchdowns,The total number of passing touchdowns.,PASS,27.0,1.0,12.0
5,Receiving Touchdowns,The total number of receiving touchdowns.,REC,27.0,1.0,12.0
6,Return Touchdowns,The total number of return touchdowns.,RET,3.0,,6.0
7,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,22.0,1.0,5.0
8,Total Points,The number of total points scored.,PTS,451.0,26.0,9.0
9,Total Points Per Game,The number of points scored per game.,TP/G,26.529,,9.0
10,Total Touchdowns,The number of touchdowns scored in total.,TD,52.0,3.0,8.0
11,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,2.0,,12.0
12,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,2.0,,6.0
13,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,2.0,,6.0
14,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,0.0,,18.0
15,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1.0
0,Total 1st downs,The the number of first downs.,CMP,354.0,20.0,13.0
1,Passing 1st downs,The number of times a pass results in a first down.,FDP,167.0,9.0,28.0
2,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,33.0,1.0,10.0
3,First Downs Per Game,The average number of first downs per game.,FD/G,20.824,20.0,13.0
4,Rushing 1st downs,The number of times a rush results in a first down.,FDR,154.0,9.0,3.0
5,First Downs Attempts,The number of attempts at getting a first down.,FDA,29.0,1.0,8.0
6,4th down %,The percentage of fourth down attempts that are converted.,4THC%,62.069,62.15700149536133,8.0
7,Fourth Down Conversions,The number of times a fourth down is converted.,4THC,18.0,1.0,3.0
8,Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team .,LST,11.0,,
9,Possession Time Seconds,The total time of possession in seconds.,POSS,32703.0,1923.0,4.0
10,Red Zone Efficiency Percentage,The percentage of red zone attempts that are converted.,CMP,66.29,,22.0
